scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           4258           8119           5629       7.945e-4       1.970e-1       1.897e-6
   1           3308           3366           7377       3.719e-4       2.570e-1       6.654e-7
   1           3057           9920           2712       5.602e-4       3.002e-1       9.720e-8
   1           4643          18628           6203       8.062e-4       2.369e-1       3.810e-8
   1           2681           9291           3910       7.241e-4       2.840e-1       6.843e-6
   1           3541           7472           4611       6.580e-4       2.808e-1       2.613e-8
   1           4118          12225           4392       4.870e-4       3.239e-1       9.746e-6
   1           3552           4435          13109       5.752e-4       2.978e-1       1.219e-5
   1           4090          12798           6576       5.021e-4       3.116e-1       3.086e-7
   1           5013          10517           6283       2.033e-4       3.355e-1       1.125e-5
   1           1632           9859           5409       1.135e-3       3.111e-1       6.929e-6
   1           4911           3723           1670       7.529e-4       3.077e-1       8.062e-7
   1           3816          17409          14137       3.686e-4       2.960e-1       1.436e-8
   1           4977          10910           1373       2.888e-4       2.870e-1       3.455e-6
   1           2774          13665           8294       9.650e-4       3.362e-1       2.320e-8
   1           3457           2976           6867       3.249e-4       2.681e-1       1.450e-5
   1           3377          16184           7054       6.425e-4       2.861e-1       4.295e-7
   1           3209          13655          10707       4.804e-4       2.142e-1       6.479e-6
   1           5976          11403           5962       5.323e-4       2.265e-1       4.358e-8
   1           2092           9908           8183       1.119e-3       3.154e-1       8.416e-8
   1           4290           5662           4782       7.148e-4       3.370e-1       3.281e-7
   1           4665          12193           6712       4.456e-4       3.449e-1       1.702e-6
   1           4525          15134          13474       1.176e-3       3.025e-1       2.816e-8
   1           3759          13380           6606       7.154e-4       3.025e-1       7.449e-8
   1           4229          12728           3717       6.156e-4       3.077e-1       2.839e-8
   1           4893          14930           6052       6.654e-4       2.980e-1       2.660e-7
   1           3313          10832           2429       5.181e-4       3.337e-1       6.260e-6
   1           3944           2296           3503       5.339e-4       1.914e-1       2.709e-6
   1           5296          11896           5139       3.012e-4       3.191e-1       1.183e-5
   1           4172          10527           8767       3.418e-4       3.130e-1       3.411e-7
   1           5356           8982           4206       3.761e-4       3.247e-1       1.496e-8
   1           3529           9522           7751       7.245e-4       2.987e-1       3.521e-7
   1           2505           5304           5845       1.085e-3       3.475e-1       6.741e-6
   1           3772          14268           7847       3.204e-4       2.636e-1       1.352e-5
   1           2957          10822           4957       6.740e-4       2.948e-1       1.613e-7
   1           4933           9255           6688       5.807e-4       2.850e-1       3.226e-8
   1           5830          12519           8463       6.428e-4       3.024e-1       2.073e-7
   1           4794           3555           4699       5.982e-4       2.686e-1       2.179e-6
   1           5235           5769          10562       3.822e-4       3.194e-1       4.689e-6
   1           4022          13423          13358       6.942e-4       2.658e-1       1.532e-7
   1           3513           9577           4990       4.718e-4       3.218e-1       7.244e-8
   1           4496          10937          10946       8.584e-4       2.458e-1       7.839e-8
   1           4261          14186           4624       9.354e-4       3.256e-1       6.945e-7
   1           4589          11016           2649       4.169e-4       2.826e-1       5.468e-7
   1           5239          14175           3744       6.342e-4       3.207e-1       2.188e-6
   1           3894           5336           6935       3.019e-4       3.458e-1       2.290e-7
   1           6606          10347            864       4.990e-4       3.251e-1       4.230e-6
   1           3771           8966           5603       8.980e-4       2.829e-1       5.057e-8
   1           3447          16646           6159       8.700e-4       3.089e-1       5.254e-8
   1           4369           8338           5611       5.031e-4       3.354e-1       2.238e-7
   1           3847           6583           1175       6.996e-4       2.942e-1       3.398e-6
   1           4276           4936           3624       5.865e-4       3.379e-1       1.053e-6
   1           2708          13534           4441       8.296e-4       3.452e-1       7.184e-7
   1           3144          16705           6764       7.857e-4       3.018e-1       2.958e-6
   1           3628           6989          11627       3.668e-4       3.112e-1       9.247e-6
   1           3755           6414           9163       9.594e-4       3.158e-1       2.341e-7
   1           5383          15343           3996       3.645e-4       3.434e-1       2.007e-7
   1           2606          15764           7834       8.620e-4       1.847e-1       5.238e-8
   1           3322           6564           9862       8.012e-4       2.596e-1       2.569e-6
   1           3713           4441           5481       6.774e-4       3.160e-1       3.669e-6
   1           2719           6977         64.044       5.908e-4       3.324e-1       4.781e-6
   1           3189           6082          12144       8.850e-4       3.148e-1       1.099e-7
   1           3298           5762          10934       6.593e-4       3.423e-1       6.337e-6
   1           5284           4822           6931       5.222e-4       2.630e-1       1.315e-5
   1           3156          20058           4004       4.543e-4       3.524e-1       5.078e-6
   1           2411          17477           7210       7.273e-4       3.541e-1       7.582e-6
   1           4609           9419            955       7.478e-4       2.312e-1       1.648e-6
   1           4518           9746           9346       5.134e-4       2.987e-1       1.707e-6
   1           4412          11765           3057       4.162e-4       2.168e-1       4.252e-7
   1           3088          14439           8779       7.146e-4       2.995e-1       3.291e-6
