scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           4246           8253           5505       7.709e-4       2.105e-1       2.010e-6
   1           3346           3518           7574       4.016e-4       2.586e-1       7.457e-7
   1           3107           9955           2471       5.838e-4       2.841e-1       1.057e-7
   1           4653          17585           6224       7.858e-4       2.439e-1       3.746e-8
   1           2689           9284           3717       7.322e-4       2.750e-1       5.953e-6
   1           3571           7590           4421       6.695e-4       2.750e-1       2.494e-8
   1           4133          12034           4179       5.098e-4       2.966e-1       7.662e-6
   1           3582           4609          15456       6.031e-4       2.833e-1       9.719e-6
   1           4070          12598           6572       5.334e-4       3.000e-1       3.284e-7
   1           5042          10514           6255       2.080e-4       3.000e-1       8.434e-6
   1           1683           9898           5273       1.000e-3       2.896e-1       6.245e-6
   1           4952           3851           1490       7.473e-4       2.884e-1       9.147e-7
   1           3837          16655          17232       3.936e-4       2.820e-1       1.171e-8
   1           4886          10874           1206       3.168e-4       2.774e-1       3.441e-6
   1           2829          13289           8659       8.896e-4       3.000e-1       2.267e-8
   1           3482           3101           6866       3.533e-4       2.649e-1       1.000e-5
   1           3406          15680           7173       6.469e-4       2.762e-1       4.912e-7
   1           3252          13411          12237       5.106e-4       2.259e-1       5.728e-6
   1           5681          11367           5873       5.715e-4       2.327e-1       4.376e-8
   1           2147           9904           8729       9.927e-4       2.919e-1       9.120e-8
   1           4322           5792           4609       7.112e-4       3.000e-1       3.775e-7
   1           4658          11979           6799       4.685e-4       3.000e-1       1.817e-6
   1           4455          14735          15917       9.687e-4       2.871e-1       2.745e-8
   1           3773          13142           6595       7.149e-4       2.874e-1       7.759e-8
   1           4227          12512           3463       6.308e-4       2.881e-1       2.588e-8
   1           4778          14579           5976       6.785e-4       2.844e-1       2.896e-7
   1           3336          10727           2306       5.218e-4       3.000e-1       6.015e-6
   1           3965           2413           3248       5.523e-4       2.040e-1       2.808e-6
   1           5253          11858           4977       3.197e-4       2.932e-1       8.912e-6
   1           4158          10544           9229       3.765e-4       2.910e-1       3.742e-7
   1           5368           8988           4003       3.911e-4       2.972e-1       1.117e-8
   1           3559           9584           8000       7.188e-4       2.832e-1       3.935e-7
   1           2549           5462           5751       9.851e-4       3.000e-1       5.963e-6
   1           3787          13922           8204       3.524e-4       2.618e-1       9.637e-6
   1           3002          10757           4792       6.769e-4       2.812e-1       1.806e-7
   1           4784           9339           6648       6.136e-4       2.792e-1       3.182e-8
   1           5684          12345           9083       6.542e-4       2.853e-1       2.335e-7
   1           4819           3687           4514       6.068e-4       2.661e-1       2.318e-6
   1           5205           5925          11988       4.053e-4       2.933e-1       4.491e-6
   1           4032          13092          16292       6.942e-4       2.642e-1       1.668e-7
   1           3548           9588           4830       5.034e-4       2.960e-1       7.678e-8
   1           4416          10939          11881       8.058e-4       2.481e-1       8.111e-8
   1           4245          13931           4417       8.631e-4       2.967e-1       7.713e-7
   1           4580          10899           2425       4.364e-4       2.757e-1       6.093e-7
   1           5154          13901           3501       6.470e-4       2.940e-1       2.304e-6
   1           3906           5527           7091       3.318e-4       3.000e-1       2.568e-7
   1           6222          10414            773       5.396e-4       2.983e-1       4.124e-6
   1           3790           9069           5484       8.503e-4       2.744e-1       5.111e-8
   1           3484          16043           6130       8.174e-4       2.892e-1       5.388e-8
   1           4422           8394           5511       5.088e-4       3.000e-1       2.515e-7
   1           3861           6752           1042       6.991e-4       2.808e-1       3.402e-6
   1           4239           5114           3404       6.152e-4       3.000e-1       1.122e-6
   1           2773          13348           4242       7.939e-4       3.000e-1       7.758e-7
   1           3190          16298           6764       7.628e-4       2.854e-1       2.994e-6
   1           3662           7079          13887       3.834e-4       2.916e-1       7.620e-6
   1           3778           6543           9692       8.990e-4       2.921e-1       2.564e-7
   1           5351          14944           3762       3.861e-4       3.000e-1       2.283e-7
   1           2685          15277           8153       8.110e-4       1.974e-1       5.385e-8
   1           3361           6718          11197       7.783e-4       2.603e-1       2.688e-6
   1           3728           4622           5336       6.862e-4       2.948e-1       3.610e-6
   1           2779           7138         59.232       6.121e-4       3.000e-1       4.489e-6
   1           3221           6189          13740       8.594e-4       2.920e-1       1.189e-7
   1           3335           5941          11951       6.692e-4       3.000e-1       5.693e-6
   1           5230           4993           7155       5.446e-4       2.621e-1       9.181e-6
   1           3196          19067           3791       4.802e-4       3.000e-1       4.838e-6
   1           2471          16768           7347       7.211e-4       3.000e-1       6.675e-6
   1           4583           9484            849       7.372e-4       2.408e-1       1.763e-6
   1           4605           9700          10084       5.138e-4       2.839e-1       1.855e-6
   1           4461          11667           2839       4.244e-4       2.287e-1       4.874e-7
   1           3132          14238           9235       7.109e-4       2.839e-1       3.296e-6
