State	Muts	LogL	Ne_Mean	Ne_SD	Na_Mean	Na_SD	Mu_Mean	Mu_SD	t_Mean	t_SD
2876	0.27957	-4010.391832	3.204571	0.354169	4.667363	0.210236	-3.355943	0.121366	4.648338	0.919195
2877	0.283951	-3854.194101	3.753892	0.354169	5.216684	0.108109	-3.905264	0.028771	5.197659	0.931801
2878	0.25	-3873.409009	3.339316	0.360501	4.802108	0.130815	-3.490688	0.062281	4.783083	0.874581
2879	0.207547	-3641.045655	1.863373	0.348701	3.326165	0.132375	-2.014745	0.179539	3.31667	0.988212
2880	0.267857	-3719.19563	2.171921	0.340824	3.710873	0.073625	-2.302412	0.117653	3.619206	0.988212
2881	0.232323	-3764.358921	3.684499	0.35257	5.0635	0.085028	-3.814989	0.08541	5.039719	0.942733
2882	0.191489	-3997.692201	4.465597	0.333532	5.844599	0.076588	-4.596088	0.09744	5.820817	0.902238
2883	0.257732	-4233.361035	2.260646	0.333532	3.639647	0.024213	-2.391137	0.060808	3.615866	0.902238
2884	0.268817	-3657.440481	3.617204	0.326055	4.888903	0.010725	-3.616126	0.08035	4.840855	0.65812
2885	0.361446	-3537.595282	4.322232	0.324533	5.593932	0.012011	-4.321154	0.040186	5.585799	0.701974
2886	0.262626	-3736.742048	5.066921	0.289143	6.33862	0.028466	-5.065843	0.142864	6.330488	0.684218
2887	0.254717	-3685.228123	4.40551	0.266612	5.654501	0.106211	-4.381723	0.118083	5.646368	0.743954
2888	0.206186	-3723.824599	3.49163	0.256338	4.740621	0.080258	-3.467843	0.20442	4.732488	0.743954
2889	0.150442	-4150.706985	1.469516	0.263115	2.718507	0.050812	-1.44573	0.188897	2.710375	0.79555
2890	0.139241	-3900.92639	2.628252	0.224948	3.815623	0.018552	-2.542846	0.183843	3.869111	0.844299
2891	0.147368	-3895.38886	4.714027	0.200868	5.901397	0.113206	-4.601019	0.200929	5.908134	0.731771
2892	0.148515	-3739.151449	2.606393	0.220809	3.793779	0.023559	-2.493401	0.18288	3.786423	0.622832
2893	0.136364	-3801.221988	2.379521	0.222794	3.566907	0.016882	-2.266528	0.204651	3.55955	0.675522
2894	0.192771	-3867.418731	2.592258	0.22144	3.779644	0.035062	-2.479266	0.204651	3.772288	0.682361
2895	0.201835	-3638.9609	3.079866	0.235483	4.186351	0.039544	-2.934057	0.185323	4.227079	0.682361
2896	0.208333	-3349.241432	3.297551	0.239356	4.404036	0.026033	-3.129423	0.187101	4.422445	0.671635
2897	0.163265	-3573.424034	3.761032	0.239356	4.867516	0.029847	-3.592904	0.187101	4.885925	0.607857
2898	0.2	-3435.891262	1.346925	0.22301	2.453409	0.041747	-1.178796	0.19745	2.471818	0.607857
2899	0.155556	-3428.853348	3.922216	0.250513	5.0287	0.038955	-3.754087	0.158954	5.047109	0.595256
2900	0.247423	-3731.449485	3.198094	0.200065	4.304578	0.095462	-3.029966	0.180669	4.322987	0.611196
2901	0.163636	-3852.963071	3.887055	0.190275	4.992334	0.084345	-3.718927	0.207721	4.983511	0.611196
2902	0.198113	-4342.355066	2.959998	0.234751	4.065276	0.114036	-2.912593	0.209334	4.056453	0.614689
2903	0.179775	-4164.489604	3.453746	0.291936	4.647068	0.076892	-3.399894	0.176854	4.543755	0.618647
2904	0.274725	-4207.819498	4.242047	0.363882	5.501915	0.035225	-4.236518	0.144392	5.414929	0.609631
2905	0.229885	-3588.456304	3.171014	0.302969	4.255941	0.327482	-2.990544	0.121136	4.343896	0.587362
2906	0.257426	-3462.245255	1.981058	0.295161	3.065986	0.183716	-1.800589	0.144135	3.153941	0.555742
2907	0.2	-3821.238129	4.551287	0.28974	5.648041	0.207484	-4.392256	0.24939	5.745608	0.604378
2908	0.22	-3594.222762	4.755947	0.295955	5.852701	0.258121	-4.547381	0.081729	5.950268	0.567031
2909	0.223301	-3660.0617	3.098281	0.293318	4.195036	0.24495	-2.865951	0.239878	4.292603	0.548966
2910	0.153061	-3582.823651	3.951628	0.285084	5.072068	0.219322	-3.742983	0.214447	5.14595	0.625357
2911	0.316456	-3706.124826	5.335155	0.249631	6.455594	0.324135	-5.117167	0.233103	6.520134	0.621591
2912	0.12605	-3561.078426	3.00054	0.306246	4.038227	0.390221	-2.782552	0.191792	4.167583	0.523482
2913	0.125	-3447.675574	2.834519	0.331279	3.893175	0.494008	-2.6375	0.179476	4.022532	0.580683
2914	0.150943	-3282.647931	4.042777	0.338096	5.101434	0.440622	-3.845758	0.122926	5.23079	0.519897
2915	0.1875	-3274.628857	3.699383	0.301386	4.758039	0.366261	-3.456608	0.120172	4.887396	0.610968
2916	0.222222	-3036.972939	2.142662	0.319906	3.201318	0.233709	-1.899887	0.180229	3.380476	0.686243
2917	0.213483	-3198.714413	2.688774	0.325023	3.747431	0.144369	-2.445999	0.138591	3.926588	0.717394
2918	0.21875	-3387.324168	4.683081	0.330976	5.747945	0.066587	-4.454208	0.091416	5.920895	0.717394
2919	0.179487	-3230.125415	2.934681	0.292254	3.981119	0.057225	-2.747462	0.175868	4.232576	0.738531
2920	0.23301	-3544.747483	3.928125	0.352801	4.974563	0.196129	-3.79345	0.104406	5.22602	0.745815
2921	0.301205	-3359.970938	5.045735	0.377663	6.17459	0.07862	-4.91106	0.090374	6.34363	0.714052
2922	0.170213	-3502.948835	4.365683	0.377663	5.493734	0.081141	-4.238392	0.256061	5.597695	0.705655
2923	0.17	-3550.54528	3.184412	0.363024	4.312463	0.124636	-3.057121	0.341499	4.416425	0.629673
2924	0.168421	-3726.472667	1.607974	0.349477	2.736026	0.067943	-1.480684	0.179212	2.839987	0.69926
2925	0.211765	-3545.595165	2.401635	0.349078	3.529686	0.128858	-2.274344	0.161354	3.633647	0.635084
2926	0.15	-3594.537641	3.778082	0.320675	4.927905	0.053563	-3.650792	0.126005	5.010095	0.676299
2927	0.258824	-3695.669446	3.518542	0.343517	4.668364	0.027612	-3.372546	0.076449	4.750554	0.72957
2928	0.288	-3764.000194	2.739839	0.334998	3.889661	0.011323	-2.593843	0.086437	3.971851	0.72957
2929	0.193548	-3585.628803	2.476182	0.334998	3.571619	0.019779	-2.299007	0.121034	3.700869	0.750768
2930	0.28125	-3537.46334	2.613466	0.334998	3.708903	0.094268	-2.43629	0.135005	3.877284	0.750768
2931	0.195652	-3728.338839	2.813859	0.361255	3.909297	0.043655	-2.636684	0.125576	4.077678	0.767349
2932	0.230769	-3780.428817	3.059237	0.334574	4.265695	0.081158	-2.882061	0.056888	4.323055	0.749281
2933	0.277778	-3577.192884	4.057851	0.302157	5.258522	0.147126	-3.880675	0.139034	5.321669	0.735865
2934	0.271605	-3831.580508	3.09925	0.324666	4.299922	0.16075	-2.922074	0.107992	4.363068	0.775729
2935	0.145455	-3959.008697	3.597739	0.333878	4.758564	0.150808	-3.430388	0.150102	4.871382	0.771326
2936	0.186275	-3757.719353	2.370519	0.323061	3.603342	0.096669	-2.203168	0.113513	3.644161	0.800629
2937	0.242718	-3731.186615	3.301006	0.305883	4.533829	0.15816	-3.133654	0.107641	4.574648	0.739689
2938	0.22549	-3895.508694	3.763093	0.32964	5.062554	0.126129	-3.595741	0.042803	4.972641	0.647011
2939	0.238095	-3642.358844	4.323842	0.346188	5.623303	0.296791	-4.15649	0.077952	5.602339	0.7101
2940	0.166667	-3530.743993	3.464595	0.370362	4.709987	0.31418	-3.290731	0.131536	4.743093	0.748329
2941	0.1375	-3376.979701	2.874032	0.370362	4.203909	0.6899	-2.700168	0.1245	4.261214	0.889574
2942	0.202128	-3571.312242	2.901156	0.371288	4.426579	0.653119	-2.727293	0.120166	4.288339	0.666147
2943	0.243243	-3625.795109	3.270739	0.374811	4.84357	0.729178	-3.130742	0.211166	4.691788	0.676904
2944	0.153061	-3571.438494	3.773322	0.40687	5.346153	0.554705	-3.633326	0.126429	5.194372	0.662337
2945	0.184211	-3665.196206	3.791361	0.428015	5.364192	0.826009	-3.651365	0.143052	5.212411	0.658298
2946	0.098039	-3591.673576	4.235212	0.432023	5.808043	0.748055	-4.095215	0.143475	5.656261	0.658298
2947	0.108108	-3569.007587	1.859605	0.420645	3.365408	0.578723	-1.719609	0.081738	3.280655	0.645107
2948	0.144231	-3562.788252	5.81553	0.413115	7.314043	0.354352	-5.651965	0.139343	7.226557	0.677416
2949	0.229167	-3450.525849	2.46164	0.465771	3.960152	0.714434	-2.314586	0.034888	3.872666	0.700904
2950	0.17757	-3685.012713	4.594396	0.465771	6.164955	0.718829	-4.447342	0.058667	6.005422	0.714357
2951	0.215909	-3733.088487	4.827583	0.443724	6.398142	0.698724	-4.680529	0.054652	6.319641	0.772399
2952	0.259615	-3673.198522	2.188016	0.443724	3.758575	0.681567	-2.040962	0.032115	3.680074	0.770543
2953	0.23	-3606.142722	3.19638	0.443724	4.766939	0.604827	-3.035981	0.057233	4.716622	0.727403
2954	0.208333	-3478.349314	3.524414	0.430962	5.093187	0.61684	-3.362229	0.017578	5.044657	0.782528
2955	0.27907	-3615.8299	3.97417	0.446988	5.381277	0.342489	-3.817473	0.078527	5.436648	0.755781
2956	0.193878	-3771.443483	2.56988	0.450372	3.976987	0.414262	-2.413183	0.062955	4.032358	0.858195
2957	0.168675	-4020.149392	3.817911	0.386577	5.225018	0.376063	-3.667857	0.066855	5.280388	0.858195
2958	0.278351	-4149.601545	4.565848	0.392182	6.101312	0.393253	-4.415794	0.049099	6.028326	0.815973
2959	0.171717	-3658.410302	3.553462	0.373342	4.934219	0.246196	-3.403408	0.100779	5.01594	0.822547
2960	0.227273	-3940.003044	3.403864	0.393298	4.851254	0.21474	-3.299323	0.116495	4.911855	0.979951
2961	0.217822	-4345.194033	3.026441	0.385057	4.676098	0.429318	-2.9219	0.241085	4.534431	0.766063
2962	0.11236	-4398.039194	1.442376	0.36733	2.925159	0.300904	-1.337835	0.216357	2.950367	0.933061
2963	0.166667	-4232.808758	1.291009	0.45701	2.803646	0.274876	-1.204041	0.1478	2.816573	0.919334
2964	0.09434	-4367.701056	3.044946	0.45701	4.557583	0.1465	-2.957978	0.142382	4.570509	0.919334
2965	0.236559	-4272.266838	4.108191	0.456751	5.620828	0.077252	-4.021223	0.180861	5.633755	0.86535
2966	0.265306	-3992.330999	3.329284	0.44246	4.834963	0.047264	-3.160564	0.181305	4.854848	0.86535
2967	0.241758	-4122.660842	2.901752	0.480793	4.40743	0.009208	-2.747746	0.145585	4.427316	0.843146
2968	0.218391	-4086.58748	3.168904	0.480793	4.750548	0.005693	-3.014898	0.146683	4.694467	0.781803
2969	0.175926	-4066.079601	4.241883	0.480074	5.808459	0.081532	-4.087877	0.10246	5.767447	0.900061
2970	0.223404	-4592.752016	3.545647	0.520696	5.112223	0.03986	-3.407118	0.123182	5.047551	0.871315
2971	0.161616	-4526.093385	3.286817	0.505513	4.79641	0.015536	-3.120035	0.103076	4.788721	0.895328
2972	0.21	-4567.058063	3.480169	0.568486	4.989762	0.058812	-3.34341	0.032097	5.012096	0.895328
2973	0.223301	-4527.504118	3.690564	0.540013	5.200157	0.046647	-3.553805	0.008703	5.222491	0.856177
2974	0.230769	-4643.41581	4.33874	0.458577	5.841183	0.126571	-4.201981	0.015306	5.870667	0.856177
2975	0.22449	-4548.596066	4.120517	0.482147	5.599864	0.208679	-3.99332	0.082931	5.662006	0.865145
2976	0.215686	-4332.822565	4.25755	0.498733	5.775838	0.104418	-4.130353	0.044993	5.815347	0.865145
