State	Muts	LogL	Ne_Mean	Ne_SD	Na_Mean	Na_SD	Mu_Mean	Mu_SD	t_Mean	t_SD
1337	0.195876	-5010.518854	2.159258	0.458797	3.001603	0.142596	-2.439414	0.666797	2.036974	0.09353
1338	0.15534	-5192.066368	2.238347	0.54304	3.080692	0.059412	-2.555202	0.666797	2.152762	0.065636
1339	0.214286	-5036.417387	2.542944	0.542649	3.38529	0.064306	-2.859799	0.681868	2.457359	0.039733
1340	0.2	-5012.477178	3.121869	0.524301	3.950895	0.037033	-3.425404	0.680662	3.022965	0.052025
1341	0.26087	-5014.541602	3.551056	0.517562	4.380082	0.123988	-3.854591	0.671653	3.452151	0.014349
1342	0.214286	-5043.384482	4.037441	0.517562	4.866467	0.092427	-4.340977	0.671653	3.938537	0.033384
1343	0.142857	-5062.663362	4.329474	0.479981	5.07527	0.181838	-4.54978	0.671653	4.14734	0.047232
1344	0.169811	-5281.659994	2.407904	0.488266	3.1537	0.20683	-2.62821	0.671653	2.22577	0.049044
1345	0.302632	-5594.394205	2.706145	0.488266	3.547248	0.222788	-3.026297	0.694789	2.618958	0.03207
1346	0.158879	-5295.86903	2.197825	0.438559	3.01944	0.210286	-2.49849	0.694789	2.09115	0.018034
1347	0.230088	-5282.250573	2.986162	0.509157	3.807777	0.217653	-3.286826	0.694789	2.879486	0.021181
1348	0.28125	-5439.515108	3.313851	0.449208	4.135466	0.207897	-3.614516	0.644768	3.207176	0.039212
1349	0.282609	-5248.505486	3.407847	0.449208	4.229462	0.185198	-3.708511	0.644768	3.301171	0.09457
1350	0.123596	-5322.833086	3.580607	0.422332	4.402222	0.245873	-3.857353	0.644768	3.476467	0.086592
1351	0.138614	-5506.157661	2.890162	0.366355	3.731929	0.267973	-3.250785	0.62872	2.869899	0.061236
1352	0.157303	-5399.515123	2.749426	0.366355	3.591193	0.191326	-3.110049	0.609558	2.729163	0.081342
1353	0.080808	-5306.694038	3.982267	0.366355	4.815673	0.22821	-4.349515	0.636214	3.968629	0.118714
1354	0.17	-4951.417598	3.235085	0.326736	4.068492	0.200853	-3.602333	0.586666	3.221447	0.18044
1355	0.19802	-5323.783968	1.356553	0.310586	2.289181	0.233513	-1.823023	0.590355	1.342916	0.244695
1356	0.09375	-5547.095073	3.477307	0.310586	4.409935	0.263872	-3.943776	0.590355	3.463669	0.291489
1357	0.115385	-5284.2437	1.568458	0.285103	2.501086	0.218054	-2.037627	0.674611	1.55752	0.226659
1358	0.216495	-5741.272131	2.436383	0.353555	3.36901	0.173711	-2.905552	0.643142	2.425445	0.257873
1359	0.195652	-5653.603264	1.727417	0.44606	2.675201	0.209102	-2.269265	0.697587	1.731635	0.179675
1360	0.135802	-5262.974191	3.393957	0.442189	4.238879	0.237464	-3.736382	0.659328	3.405338	0.260358
1361	0.162393	-5101.35911	1.648738	0.447771	2.483928	0.242414	-1.93519	0.659631	1.660119	0.210757
1362	0.108911	-5177.67563	2.802519	0.447771	3.668737	0.136159	-3.121089	0.710882	2.8139	0.259492
1363	0.235955	-4962.458051	2.731786	0.371047	3.562351	0.198822	-3.014703	0.647297	2.743167	0.277084
1364	0.085106	-5297.676478	2.967029	0.383798	3.797594	0.191592	-3.249946	0.647297	2.97841	0.31752
1365	0.146667	-5402.996845	4.991153	0.44346	5.848696	0.167494	-5.27407	0.647297	5.002534	0.268377
1366	0.10101	-5448.293033	2.910582	0.477953	3.768125	0.159194	-3.188174	0.697618	2.921963	0.279124
1367	0.119266	-5216.435356	2.783512	0.405361	3.641055	0.17218	-3.061104	0.688202	2.794893	0.290113
1368	0.151515	-5403.917357	4.06641	0.405361	4.923953	0.189647	-4.344002	0.606925	4.077791	0.27814
1369	0.125	-5279.087038	4.747717	0.36215	5.612973	0.208437	-5.044786	0.606925	4.770862	0.265894
1370	0.166667	-5311.24319	5.316867	0.284632	6.205976	0.212815	-5.613936	0.572726	5.340012	0.193146
1371	0.207317	-4098.557102	3.64378	0.253703	4.314557	0.232187	-3.692256	0.554419	3.666925	0.165609
1372	0.14433	-4172.284918	4.438647	0.206267	5.109424	0.232187	-4.487123	0.44898	4.461792	0.148167
1373	0.196078	-5141.384553	3.696586	0.26062	4.564796	0.266754	-3.954824	0.496828	3.719731	0.148149
1374	0.136364	-5186.942907	2.908929	0.269106	3.728918	0.250585	-3.163401	0.498008	2.928308	0.153697
1375	0.184466	-5287.350591	3.826663	0.324579	4.646652	0.201414	-4.081135	0.498008	3.846042	0.171537
1376	0.111111	-5344.378142	3.364868	0.325474	4.208896	0.139826	-3.650647	0.594834	3.408475	0.212716
1377	0.04902	-5289.088866	2.241473	0.325474	3.111171	0.131197	-2.513127	0.594834	2.270473	0.164574
1378	0.130435	-4783.720553	4.382296	0.292144	5.251995	0.123743	-4.653951	0.718315	4.411296	0.159821
1379	0.179104	-5244.658959	5.44522	0.307762	6.323229	0.151239	-5.725185	0.633801	5.47422	0.198514
1380	0.045977	-5222.056421	3.941635	0.316927	4.819644	0.171701	-4.2216	0.633801	3.970635	0.243278
1381	0.12	-5264.442293	2.483351	0.336874	3.36654	0.097093	-2.782273	0.631862	2.512351	0.268436
1382	0.13	-5232.362817	3.865895	0.293212	4.749085	0.08701	-4.164817	0.631862	3.894895	0.221395
1383	0.195876	-5280.469269	3.992432	0.334656	4.861009	0.167865	-4.279801	0.592859	4.021432	0.237268
1384	0.152381	-5154.446376	4.859332	0.375929	5.776042	0.112817	-5.146701	0.592859	4.888332	0.215533
1385	0.192661	-4931.982773	3.460376	0.281101	4.377086	0.026317	-3.792682	0.653954	3.534313	0.148155
1386	0.304762	-5019.046024	2.930858	0.274283	3.847568	0.073909	-3.263164	0.64317	3.004795	0.204411
1387	0.168317	-5040.333766	2.723889	0.281052	3.640599	0.123129	-3.056196	0.64317	2.797827	0.193199
1388	0.134021	-5006.635692	2.398477	0.232875	3.315187	0.138109	-2.719681	0.601646	2.472414	0.175129
1389	0.149123	-5274.031673	2.4927	0.223204	3.425241	0.138599	-2.829735	0.608962	2.597027	0.140961
1390	0.141414	-5022.614066	2.463391	0.189282	3.404085	0.046185	-2.808579	0.589398	2.575871	0.135961
1391	0.188679	-4348.788296	4.726023	0.257483	5.470399	0.084267	-4.874893	0.591547	4.838503	0.251763
1392	0.120482	-4322.269036	3.254155	0.257483	3.998531	0.175158	-3.403026	0.608471	3.366635	0.24753
1393	0.115044	-4584.988306	4.585131	0.199037	5.348221	0.272104	-4.734002	0.541094	4.697611	0.12062
1394	0.192308	-4614.328124	3.493115	0.292638	4.238664	0.230568	-3.588061	0.527935	3.588055	0.199172
1395	0.091837	-5363.991747	2.702977	0.276968	3.548469	0.191942	-2.897865	0.545602	2.797917	0.176444
1396	0.076923	-4922.176077	3.242051	0.299088	3.885323	0.176008	-3.283872	0.590742	3.336991	0.255296
1397	0.074766	-4850.10418	3.864208	0.315889	4.50748	0.152399	-3.906028	0.573848	3.959148	0.255296
1398	0.074468	-4833.814261	4.65934	0.387314	5.22518	0.174491	-4.618423	0.573848	4.777001	0.293975
1399	0.110169	-4506.780834	3.373233	0.387314	3.939073	0.165901	-3.332316	0.628925	3.490894	0.260647
1400	0.111111	-4604.678446	3.289059	0.367224	3.857438	0.166955	-3.270506	0.625641	3.429084	0.31012
1401	0.065934	-4534.285418	2.197791	0.374861	2.76617	0.131803	-2.179238	0.658168	2.337816	0.314828
1402	0.133333	-4632.05082	3.052271	0.386085	3.652248	0.068283	-3.033718	0.642893	3.192296	0.338482
1403	0.122642	-5026.527653	2.619693	0.404671	3.219671	0.046763	-2.601141	0.588017	2.759719	0.338482
1404	0.163265	-4694.730806	3.376841	0.339525	3.976818	0.102159	-3.358288	0.625497	3.516866	0.338482
1405	0.168539	-4461.197194	3.590852	0.344195	4.187512	0.265642	-3.5723	0.62412	3.730878	0.318119
1406	0.087912	-4469.53255	1.818805	0.289693	2.415465	0.254319	-1.800253	0.586711	1.95883	0.323625
1407	0.079545	-5261.099942	2.593585	0.289693	3.330663	0.226445	-2.703573	0.588263	2.733611	0.323625
1408	0.082474	-5582.711991	2.473876	0.289693	3.210954	0.26401	-2.583864	0.569279	2.613902	0.260133
1409	0.09375	-5555.369813	4.388337	0.319445	5.106413	0.246048	-4.416682	0.569279	4.528362	0.408732
1410	0.11828	-5438.734815	3.360752	0.324356	4.078829	0.249713	-3.389098	0.571618	3.500777	0.403273
1411	0.132231	-5204.695355	4.786396	0.275737	5.504472	0.250054	-4.814741	0.571618	4.926421	0.38264
1412	0.092437	-5289.434904	2.625874	0.243223	3.378672	0.213871	-2.696688	0.571618	2.7659	0.331671
1413	0.10101	-5738.440441	2.07557	0.245659	2.828367	0.243661	-2.146384	0.461805	2.215595	0.40663
1414	0.139535	-5296.771048	2.416247	0.231286	3.205849	0.260003	-2.487061	0.461805	2.556273	0.325674
1415	0.119048	-5972.436254	1.743165	0.239327	2.710029	0.170069	-2.009453	0.62826	1.88319	0.322186
1416	0.139535	-6047.452973	2.897241	0.283086	3.864104	0.203821	-3.163529	0.598312	3.037266	0.322186
1417	0.090909	-5884.338608	1.382477	0.26691	2.34934	0.211093	-1.648765	0.605462	1.520548	0.322186
1418	0.145833	-5806.991176	2.991093	0.255394	3.90065	0.248941	-3.257381	0.589727	3.129165	0.263525
1419	0.07767	-5777.553927	3.399789	0.268264	4.309346	0.177909	-3.666077	0.582353	3.537861	0.185766
1420	0.117021	-5911.4686	3.522061	0.299001	4.478857	0.258576	-3.797357	0.56802	3.669141	0.240307
1421	0.090909	-6123.092878	2.467256	0.298354	3.424052	0.218186	-2.747317	0.580706	2.614336	0.232591
1422	0.072165	-6108.954253	1.755331	0.345017	2.712127	0.228737	-2.024246	0.580706	1.891265	0.228461
1423	0.095238	-5713.550365	3.1763	0.288436	4.133097	0.143912	-3.449935	0.655549	3.312235	0.228486
1424	0.105263	-5509.304413	3.262336	0.253077	4.225999	0.134026	-3.535971	0.655549	3.398271	0.182585
1425	0.057471	-5513.298032	2.621124	0.237786	3.584787	0.064156	-2.851267	0.655549	2.713567	0.179697
1426	0.101124	-5921.08947	3.295363	0.237786	4.301308	0.053103	-3.525506	0.650682	3.387805	0.168072
1427	0.159574	-5851.720637	4.323251	0.239891	5.313196	0.102597	-4.553394	0.640853	4.415694	0.158803
1428	0.154762	-5720.581096	2.680778	0.259263	3.670724	0.112309	-2.910921	0.640853	2.773221	0.170174
1429	0.092784	-5600.857901	1.787049	0.288253	2.776994	0.083771	-2.017192	0.648227	1.879491	0.170174
1430	0.15625	-5737.510433	2.573147	0.281761	3.563092	0.057925	-2.80329	0.660918	2.66559	0.193484
1431	0.157303	-5955.444378	4.130969	0.281761	5.160651	0.066994	-4.361302	0.660918	4.183866	0.235027
1432	0.2	-5781.71112	4.307113	0.331412	5.386904	0.062201	-4.587555	0.762616	4.410119	0.234717
1433	0.178947	-5895.785551	3.141491	0.324507	4.175066	0.028106	-3.455303	0.762616	3.244498	0.23309
1434	0.100917	-5693.113161	1.505678	0.333994	2.539254	0.033311	-1.81949	0.739928	1.608685	0.23309
1435	0.151515	-5293.213024	1.537608	0.39867	2.415226	0.055334	-1.695463	0.739928	1.484658	0.225573
1436	0.157303	-5107.085823	2.765256	0.406449	3.626281	0.015063	-2.906518	0.756735	2.808455	0.225573
1437	0.204545	-5061.724983	3.501032	0.363392	4.362057	0.002481	-3.642294	0.756735	3.526432	0.201716
1438	0.262626	-4822.470897	3.749472	0.323991	4.610497	0.038244	-3.937966	0.846155	3.822104	0.202083
1439	0.186916	-5220.038856	3.832214	0.323991	4.693239	0.01516	-4.020708	0.812733	3.904846	0.186868
1440	0.111111	-5000.253496	3.962119	0.323991	4.823144	0.011287	-4.150614	0.812733	4.034752	0.218324
1441	0.197802	-4775.394177	2.777339	0.304012	3.638364	0.005618	-2.965834	0.790475	2.849972	0.218324
1442	0.218182	-4869.359348	3.30363	0.320222	4.19634	0.041232	-3.492125	0.790475	3.376263	0.169288
