scenario  Ne(u+sni)_1     t(u+sni)_1      Na(u+sni)_1   
   1           3.634           8.705        1.403e-2
   1           1.400           2.717        1.403e-2
   1           3.222        6.368e-1        1.403e-2
   1           1.234           1.511        1.403e-2
   1           2.709        1.189e-1        1.403e-2
   1           1.875           2.216        1.403e-2
   1           2.591           2.273        1.403e-2
   1           1.136        3.658e-1        1.403e-2
   1           2.115        5.075e-1        1.403e-2
   1           1.447        9.899e-2        1.403e-2
   1           1.884           1.582        1.403e-2
   1           3.149           2.227        1.403e-2
   1           2.692           1.279        1.403e-2
   1           1.068        2.089e-1        1.403e-2
   1           2.416           1.008        1.403e-2
   1           2.048           1.813        1.403e-2
   1           2.485        3.777e-1        1.403e-2
   1           1.689        1.531e-1        1.403e-2
   1        7.904e-1        2.021e-1        1.403e-2
   1           1.060        1.096e-1        1.403e-2
   1           1.391           1.672        1.403e-2
   1           2.516        7.068e-1        1.403e-2
   1           3.692        6.715e-1        1.403e-2
   1           1.591        2.046e-1        1.403e-2
   1           2.565           7.212        1.403e-2
   1           1.135        1.189e-1        1.403e-2
   1           1.178           5.272        1.403e-2
   1           1.239        9.884e-2        1.403e-2
   1           2.003        1.464e-1        1.403e-2
   1        9.942e-1        3.780e-1        1.403e-2
   1           3.768           9.201        1.403e-2
   1           1.641           4.542        1.403e-2
   1           1.782        7.967e-1        1.403e-2
   1           5.006        3.359e-1        1.403e-2
   1           1.404           2.451        1.403e-2
   1           1.933           1.068        1.403e-2
   1           4.379        6.025e-1        1.403e-2
   1           1.088        4.081e-1        1.403e-2
   1           1.642           1.388        1.403e-2
   1           1.220        5.708e-2        1.403e-2
   1           1.228        4.312e-1        1.403e-2
   1        6.659e-1        5.756e-2        1.403e-2
   1           4.631        4.657e-1        1.403e-2
   1           2.374        4.799e-1        1.403e-2
   1           1.893           1.125        1.403e-2
   1           2.839           1.674        1.403e-2
   1           1.203        4.234e-1        1.403e-2
   1           2.287           5.560        1.403e-2
   1           2.701           1.079        1.403e-2
   1           1.371        2.103e-1        1.403e-2
   1           2.027        1.214e-1        1.403e-2
   1           1.444        8.519e-1        1.403e-2
   1           1.436        3.925e-1        1.403e-2
   1           2.189        3.299e-1        1.403e-2
   1           1.286        7.245e-1        1.403e-2
   1           1.476        4.265e-2        1.403e-2
   1           1.626           3.717        1.403e-2
   1           3.329           1.303        1.403e-2
   1           2.460        1.592e-1        1.403e-2
   1           1.491           2.385        1.403e-2
   1           1.794        4.567e-1        1.403e-2
   1           1.358        2.969e-1        1.403e-2
   1           2.981           2.967        1.403e-2
   1           1.674        8.819e-1        1.403e-2
   1           1.789        3.813e-1        1.403e-2
   1           1.647        1.356e-1        1.403e-2
   1           1.608        1.947e-1        1.403e-2
   1           1.594        4.455e-1        1.403e-2
   1           2.206        9.599e-2        1.403e-2
   1           1.804        2.092e-1        1.403e-2
   1           2.567           2.359        1.403e-2
   1        8.575e-1        4.766e-1        1.403e-2
   1           1.662           1.335        1.403e-2
   1           2.428        3.320e-1        1.403e-2
   1           2.973           9.553        1.403e-2
   1           1.109        1.513e-1        1.403e-2
   1           3.042        3.172e-1        1.403e-2
   1           4.265        2.826e-1        1.403e-2
   1        8.032e-1           1.176        1.403e-2
   1           1.341        6.450e-1        1.403e-2
   1           1.832        1.079e-1        1.403e-2
   1           1.740        2.275e-1        1.403e-2
   1           3.687           2.331        1.403e-2
   1           2.570        2.070e-1        1.403e-2
   1        8.428e-1        2.692e-1        1.403e-2
   1           1.194        5.464e-2        1.403e-2
   1           2.414        3.359e-1        1.403e-2
   1           2.516           6.450        1.403e-2
   1           1.531        6.621e-2        1.403e-2
   1        8.746e-1        6.704e-2        1.403e-2
   1           1.456        6.627e-1        1.403e-2
   1           2.097           1.312        1.403e-2
   1           1.480        2.581e-1        1.403e-2
   1           2.566           1.176        1.403e-2
   1           2.633           1.457        1.403e-2
   1           1.547        3.800e-1        1.403e-2
   1           2.219        1.986e-1        1.403e-2
   1           1.974        5.026e-2        1.403e-2
   1           1.599           6.892        1.403e-2
   1           1.982        1.936e-1        1.403e-2
   1           1.802        4.288e-1        1.403e-2
   1           3.140        6.542e-1        1.403e-2
   1           2.108        2.913e-1        1.403e-2
   1           2.875        2.053e-1        1.403e-2
   1           1.842        1.657e-1        1.403e-2
   1           1.185        3.315e-1        1.403e-2
   1           1.755        5.461e-2        1.403e-2
