scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           4048           7913          12907       2.657e-4       2.675e-1       5.108e-6
   1           3810          17295           8162       4.192e-4       2.390e-1       2.816e-6
   1           3883          14199           5315       5.223e-4       2.749e-1       2.725e-7
   1           4406          13632          10664       7.913e-4       2.991e-1       2.408e-6
   1           4215           9655           2069       5.516e-4       2.920e-1       1.321e-6
   1           2230          19372          13276       5.948e-4       3.000e-1       6.090e-8
   1           4051          14995           2495       4.421e-4       1.831e-1       2.252e-7
   1           4736          14749          19584       4.703e-4       3.000e-1       1.800e-7
   1           4027          16977           1716       4.629e-4       2.689e-1       6.010e-6
   1           5400          17374           5466       4.124e-4       2.884e-1       1.308e-6
   1           3484           9735          10880       4.651e-4       3.000e-1       8.851e-6
   1           3410          11744         32.194       2.741e-4       2.781e-1       1.563e-7
   1           4109          12997          15916       4.236e-4       2.606e-1       2.505e-7
   1           3630           4767           1205       7.127e-4       2.808e-1       6.092e-8
   1           4353           9394           5366       1.625e-4       3.000e-1       8.214e-6
   1           6072          16293           1269       1.316e-4       2.928e-1       9.047e-6
   1           2271          17027           7113       9.308e-4       2.283e-1       9.021e-6
   1           3254          18527           8078       5.947e-4       2.720e-1       3.764e-6
   1           3887           7862           2725       6.350e-4       1.818e-1       9.169e-6
   1           4726           8393           7225       5.385e-4       2.610e-1       8.792e-8
   1           4652          11004          14515       2.590e-4       2.630e-1       1.000e-5
   1           4735          13126            760       5.760e-4       2.561e-1       4.612e-6
   1           3587           4155           8145       6.948e-4       2.800e-1       1.724e-6
   1           4813          18231           4301       1.816e-4       2.719e-1       1.688e-7
   1           3661           7910           6067       4.679e-4       2.847e-1       1.812e-7
   1           3848          11476          10769       8.775e-4       1.521e-1       1.406e-7
   1           3361           3704           1585       6.788e-4       1.249e-1       3.991e-6
   1           4658          10956           5003       6.712e-4       2.205e-1       4.480e-6
   1           3598          13121           6044       6.664e-4       2.717e-1       9.663e-6
   1           4993          16347           2133       6.971e-4       2.381e-1       6.041e-6
   1           4422          14784           7981       3.440e-4       2.873e-1       5.629e-6
   1           4309           7775           4434       3.687e-4       2.844e-1       1.000e-5
   1           1510           9306          12741       8.764e-4       2.621e-1       3.701e-7
   1           3350          10011          10532       4.187e-4       2.412e-1       3.390e-6
   1           4045          17023          13091       5.034e-4       3.000e-1       2.729e-6
   1           5047          14448          10170       5.899e-4       2.840e-1       9.432e-8
   1           4159          17344           2661       2.519e-4       2.780e-1       9.410e-6
   1           4462           9176          18929       4.570e-4       3.000e-1       2.333e-6
   1           3938           8005           2554       8.376e-4       2.793e-1       3.724e-7
   1           4782           6679           6537       2.414e-4       2.716e-1       4.185e-7
   1           4158          15469           3439       3.085e-4       2.985e-1       5.659e-6
   1           3095           5853           4175       2.482e-4       2.990e-1       1.000e-5
   1           4354          19659            765       3.052e-4       2.800e-1       3.008e-8
   1           4121           6182          11345       6.124e-4       2.987e-1       6.346e-6
   1           3158          15015           4500       3.297e-4       2.412e-1       9.061e-7
   1           3515          17689          13752       3.122e-4       2.411e-1       9.411e-6
   1           5260          10066          14473       3.641e-4       2.323e-1       8.020e-6
   1           4095          17544          10468       8.329e-4       2.416e-1       3.087e-6
   1           3938          16316           9841       8.318e-4       1.839e-1       9.016e-6
   1           6593          11867           7615       7.918e-4       2.223e-1       4.103e-6
   1           4757          14873           8896       8.446e-4       2.642e-1       1.029e-6
   1           3724          13938            367       5.204e-4       2.975e-1       4.478e-8
   1           3813          14379          11106       9.536e-4       2.986e-1       1.408e-6
   1           5326          13265          18270       6.509e-4       2.750e-1       3.000e-6
   1           6184          14997           1898       3.321e-4       2.947e-1       4.418e-6
   1           3602          18785           2629       5.957e-4       3.000e-1       7.010e-6
   1           4368          16242           7854       4.675e-4       2.925e-1       2.152e-8
   1           3716          15296           3759       4.260e-4       2.854e-1       2.574e-6
   1           2440          17625           4394       8.794e-4       2.607e-1       4.801e-7
   1           4840          17116          12602       4.092e-4       1.233e-1       1.102e-7
   1           4568          11724           1767       5.235e-4       2.518e-1       3.893e-8
   1           4201           1924           8475       3.026e-4       3.000e-1       4.494e-6
   1           4534          10494          11730       3.526e-4       2.323e-1       4.237e-7
   1           1810          16984          18331       8.717e-4       2.783e-1         100e-6
   1           4360          18890           5872       6.758e-4       2.975e-1       7.907e-6
   1           2926          12738           5450       4.645e-4       2.901e-1       7.436e-7
   1           6423          14149           7427       5.836e-4       1.786e-1       8.269e-6
   1           3546          11522         85.250       8.611e-4       2.963e-1       3.562e-6
   1           4448          12203           1898       4.279e-4       2.298e-1       3.195e-6
   1           5384          17437           3639       1.780e-4       2.102e-1       3.349e-7
   1           4691          10540          13349       2.712e-4       2.476e-1       1.951e-7
   1           4538           8914          10687       4.057e-4       2.543e-1       1.133e-6
   1           3819          11596          12666       3.659e-4       1.964e-1       3.031e-6
   1           4336          13641           5968       4.712e-4       2.609e-1       9.536e-6
   1           4510          11907           8055       5.810e-4       1.705e-1       1.839e-7
   1           3556          12887           3799       2.701e-4       2.890e-1       3.061e-6
   1           6311          12884          15965       2.695e-4       2.129e-1       7.164e-8
   1           3773          16836           7419       4.301e-4       2.950e-1       2.652e-6
   1           4442           7888          17253       4.860e-4       2.597e-1       1.195e-6
   1           4258           8691           5938       4.278e-4       2.567e-1       3.302e-7
   1           2861           9884           9689       3.294e-4       2.957e-1       4.081e-6
   1           3588           9439           4688       2.873e-4       2.496e-1       4.987e-8
   1           2817          11546           6400       6.669e-4       2.255e-1       5.527e-6
   1           5002          15138           3517       3.215e-4       2.561e-1       7.731e-6
   1           3935          12591          12317       6.027e-4       2.681e-1       8.934e-7
   1           4361          15051           7641       5.523e-4       2.486e-1       1.145e-7
   1           3934          15265          11708       5.144e-4       1.397e-1       1.192e-7
   1           3764           9615           3296       3.644e-4       2.776e-1       5.152e-6
   1           2008          14993           8603       7.812e-4       2.696e-1       1.000e-5
   1           5024          16386           2340       2.743e-4       2.796e-1       6.471e-8
   1           3543           6150          11036       6.003e-4       2.433e-1       1.000e-5
   1           5554          20585          10089       2.154e-4       2.600e-1       9.679e-6
   1           4702          12273           6029       5.291e-4       2.951e-1       2.976e-6
   1           3301          12420           6597       5.458e-4       2.576e-1       5.333e-8
   1           3035          10474          10874       9.244e-4       2.146e-1       9.732e-8
   1           5704           7502           7904       7.839e-4       2.795e-1       6.423e-7
   1           2157          16745           7510       4.881e-4       2.778e-1       8.306e-6
   1           5585           9189           7857       1.681e-4       2.473e-1       6.400e-6
   1           5279          10808           4934       9.149e-4       2.954e-1       6.134e-6
   1           5101          17482           9462       1.770e-4       2.370e-1       2.063e-7
   1           3066          17414          11315       7.476e-4       2.567e-1       2.266e-6
   1           3647           8860           9209       3.694e-4       2.642e-1       1.587e-6
   1           4831          17359          10133       1.732e-4       2.025e-1       9.109e-6
   1           3100          14637           7868       2.733e-4       2.473e-1       9.683e-6
   1           6856           9629           4178       3.696e-4       1.698e-1       1.336e-7
   1           5258           7880           4074       3.386e-4       2.821e-1       1.974e-8
   1           4649           5091           2505       3.173e-4       3.000e-1       5.347e-7
   1           5327          12081           8067       5.978e-4       2.731e-1       1.345e-6
   1           4261          10790           6392       2.032e-4       2.402e-1       2.003e-7
   1           5628          10127           6113       2.911e-4       2.844e-1       6.822e-7
   1           5066          12818           4203       6.371e-4       2.677e-1       7.043e-7
   1           3880          13530           5860       3.341e-4       2.631e-1       1.997e-6
   1           6070          13184           7450       1.811e-4       2.499e-1       2.355e-6
   1           3332           4898           7068       3.292e-4       2.569e-1       6.305e-6
   1           3981          13606           5254       7.701e-4       2.722e-1       4.528e-6
   1           3847           8738            983       8.670e-4       2.730e-1       1.505e-6
   1           5801          13423          12493       3.020e-4       2.881e-1       9.092e-8
   1           4398           6682           5328       3.554e-4       2.742e-1       3.485e-7
   1           3478          14622           4926       8.719e-4       2.911e-1       1.721e-6
   1           4524          14445           4231       8.715e-4       2.833e-1       4.909e-8
   1           4266           5436           2611       3.449e-4       2.358e-1       6.876e-6
   1           2925          17544           5920       5.460e-4       2.836e-1       9.967e-6
   1           4442          10437           1765       3.855e-4       2.245e-1       3.380e-6
   1           2857          10201           9748       7.363e-4       2.040e-1       1.723e-6
   1           4479          13597           9788       8.021e-4       2.445e-1       3.547e-8
   1           3168          15814           6759       4.301e-4       2.955e-1       5.864e-6
   1           3916          12524           9818       6.521e-4       2.370e-1       5.118e-7
   1           4017           9714           6306       4.256e-4       2.496e-1       4.589e-8
   1           5511          14074           1024       2.433e-4       2.906e-1       3.586e-7
   1           3846           8976           5090       3.924e-4       3.000e-1       4.555e-6
   1           4162          12419           6552       5.876e-4       3.000e-1       5.498e-8
   1           4812          12854           8749       3.968e-4       2.794e-1       5.374e-6
   1           2804          13930           4975       9.321e-4       3.000e-1       8.230e-6
   1           5664           7465          11981       1.676e-4       2.108e-1       1.121e-6
   1           4607          13056           4290       2.539e-4       2.429e-1       6.052e-7
   1           4148          10429           3150       4.172e-4       3.000e-1       7.384e-6
   1           3869          14056           6144       7.117e-4       2.783e-1       1.543e-6
   1           4053          16777           5598       3.638e-4       2.393e-1       1.535e-6
   1           4701          10511           6615       4.140e-4       2.543e-1       6.098e-7
   1           4761          11360          10181       6.452e-4       2.861e-1       1.323e-8
   1           2858           7908           4998       2.650e-4       3.000e-1       1.000e-5
   1           2823          11234          10462       5.985e-4       2.454e-1       2.276e-6
   1           2945          11736           6011       7.215e-4       2.568e-1       6.507e-7
   1           4154          18171           3879       8.018e-4       2.568e-1       2.044e-7
   1           4460          10714           9848       6.163e-4       1.233e-1       7.462e-8
   1           4640          15126           6722       3.728e-4       1.752e-1       4.415e-8
   1           3377           9344          11595       3.219e-4       2.559e-1       1.315e-8
   1           3157          12327           6324       5.134e-4       2.867e-1       3.066e-6
   1           3689           8334           3939       8.504e-4       2.666e-1       1.429e-7
   1           3174          15223           3457       4.347e-4       2.009e-1       3.578e-6
   1           3791           6562           2290       4.607e-4       2.511e-1       3.777e-6
   1           3775          15578           3269       2.563e-4       2.902e-1       7.685e-8
   1           2364          12353          10976       8.702e-4       2.992e-1       3.410e-7
   1           4566          11473           6527       3.668e-4       3.000e-1       8.797e-6
   1           4045          11709          11009       5.898e-4       3.000e-1       7.951e-6
   1           3506          13010           4358       7.658e-4       2.258e-1       3.052e-8
   1           3318          15014          11747       9.313e-4       1.993e-1       4.828e-6
   1           4687          14598           8780       2.973e-4       3.000e-1       3.018e-6
