scenario      Ne            t             Na          µmic_1        pmic_1       snimic_1      NAL_1_1       HET_1_1       VAR_1_1       MGW_1_1    
  1            1884          5094          2706    1.371e-004    2.012e-001    8.274e-007      3.750000      0.404709      0.717722      0.895522
  1            2629         11496          8766    9.214e-004    2.558e-001    6.508e-007      9.500000      0.796474      6.604956      0.926829
  1            4200         10296          9520    7.252e-004    2.279e-001    2.464e-006     10.000000      0.794883      7.226039      0.924855
  1            3587          5004          7209    7.475e-004    1.771e-001    1.150e-006      8.875000      0.750780      6.459464      0.910256
  1            4471          8528          1360    3.509e-004    2.449e-001    2.476e-007      6.750000      0.701780      2.463094      1.048544
  1            2903         10957         20647    1.041e-004    1.385e-001    3.323e-008      4.500000      0.484412      0.790334      0.923077
  1            4029          2321         17542    7.520e-004    2.217e-001    1.285e-006     11.125000      0.764324     12.854284      0.847619
  1            5321          7652          5136    4.194e-004    1.020e-001    5.133e-006      6.875000      0.623393      1.497255      1.047619
  1            5270          4772         17146    5.698e-004    2.304e-001    8.556e-007     11.375000      0.780118     21.249947      0.827273
  1            3120         15621           323    4.143e-004    2.598e-001    1.885e-008      6.375000      0.641181      2.719547      0.894737
  1            3290          6371          2813    4.540e-004    1.737e-001    1.328e-007      7.500000      0.690702      2.825145      0.937500
  1            4548         14743          1265    8.955e-004    1.846e-001    4.838e-008     10.750000      0.797168      7.338236      0.966292
  1            4978         15778          5166    3.905e-004    2.826e-001    2.569e-006      8.875000      0.730739      5.735459      1.007092
  1            4708          8990          4986    8.127e-004    2.561e-001    1.926e-008      8.000000      0.748753      7.949967      0.876712
  1            2798          7884         13899    9.197e-004    1.205e-001    1.057e-006      9.000000      0.716741      5.669250      0.929032
  1            3777          7216          7219    2.287e-004    1.927e-001    1.419e-006      6.000000      0.589438      1.621079      1.032258
  1            2322          9736          4861    5.250e-004    2.106e-001    2.511e-008      5.625000      0.481844      3.495230      0.900000
  1            1786         14698         11606    9.310e-004    1.999e-001    1.090e-006      7.875000      0.706881      2.774258      0.984375
  1            5700          4677         14704    3.914e-004    1.917e-001    4.377e-008      9.250000      0.700882      7.107412      0.925000
  1            3543         17080          4218    7.737e-004    1.081e-001    3.459e-007      8.750000      0.617744      4.684718      1.138211
  1            3900          6886          4928    3.637e-004    1.764e-001    8.828e-008      6.250000      0.692951      2.818685      0.909091
  1            3721         13875          8948    4.905e-004    2.449e-001    1.585e-008      8.500000      0.673824      6.172444      0.850000
  1            3914         13364         11537    3.249e-004    2.643e-001    3.316e-006      7.250000      0.659657      2.274087      1.008696
  1            4529         12604          5464    9.571e-004    1.807e-001    3.716e-008     11.625000      0.850719     13.026024      0.889952
  1            4049          7234         12265    9.122e-004    2.170e-001    7.512e-007      9.375000      0.751090     10.748243      0.793651
  1            5060         13655         13869    8.624e-004    2.240e-001    4.752e-007     10.750000      0.765297      9.291315      1.017751
  1            6438          9494         12124    5.395e-004    2.431e-001    7.399e-008     10.625000      0.816995     14.072404      0.841584
  1            5268          9509         15864    2.868e-004    1.560e-001    7.844e-006      7.125000      0.624932      2.770015      1.055556
  1            3419         15691          7225    1.853e-004    2.726e-001    9.965e-006      6.125000      0.547422      2.933535      0.915888
  1            4045          9312          1942    4.962e-004    1.129e-001    1.005e-008      6.375000      0.670510      1.737075      1.000000
  1            2483          8967          7992    4.703e-004    1.735e-001    4.910e-006      7.250000      0.635009      4.003783      0.958678
  1            3503         11874          4846    7.259e-004    1.792e-001    4.845e-007      8.250000      0.732572      4.291589      0.963504
  1            3848         10621         15814    2.771e-004    1.936e-001    1.588e-008      6.875000      0.658634      3.248167      0.940171
  1            4517          7385          5227    9.406e-004    1.978e-001    8.551e-006     12.000000      0.789363      9.069738      1.049180
  1            5493         10195         12647    5.269e-004    2.402e-001    1.288e-006      9.000000      0.716809      4.480412      1.028571
  1            2143          9416          4291    1.589e-004    2.387e-001    2.227e-008      4.750000      0.420279      2.020619      0.800000
  1            3947          4964         15117    9.758e-004    1.546e-001    1.573e-007     10.625000      0.809237     12.427360      0.885417
  1            2444         14699          3203    6.043e-004    1.877e-001    7.555e-008      7.000000      0.698639      2.049344      1.000000
  1            3850          5311         23320    2.384e-004    2.300e-001    1.482e-008      6.000000      0.639747      7.546897      0.827586
