scenario      Ne            t             Na          µmic_1        pmic_1       snimic_1      NAL_1_1       HET_1_1       VAR_1_1       MGW_1_1    
  1            3251          8855           894    5.772e-004    2.221e-001    3.107e-008      8.875000      0.707501      8.745893      0.898734
  1            3736          7597          8591    3.266e-004    1.843e-001    1.398e-006      7.750000      0.715160      4.891156      0.939394
  1            2650          1181         15020    1.618e-004    2.099e-001    8.590e-008      5.625000      0.622102      3.411659      0.775862
  1            3268         14063         17567    1.928e-004    1.616e-001    6.310e-006      5.625000      0.465823      2.226619      0.937500
  1            3383         13257          2154    7.759e-004    1.155e-001    2.088e-008      7.000000      0.666865      3.176620      0.991150
  1            2823         10435          4131    1.658e-004    1.297e-001    1.645e-007      4.750000      0.554662      1.647357      0.894118
  1            2899         12744          9238    3.918e-004    2.380e-001    4.688e-008      6.625000      0.618423      2.963054      1.060000
  1            2468         10176           354    3.880e-004    1.472e-001    2.058e-007      7.125000      0.676302      3.408030      0.950000
  1            2858          6985          6242    9.789e-004    2.705e-001    3.771e-007     10.750000      0.787216     12.705553      0.950276
  1            3749          8598          5190    9.341e-004    2.608e-001    3.053e-008     11.000000      0.814544      7.107962      1.060241
  1            5104         12048         12885    4.883e-004    1.156e-001    1.803e-008      9.250000      0.768632      9.542390      0.880952
  1            3133         12486          6404    6.327e-004    2.975e-001    3.411e-007      8.750000      0.708226      4.112263      0.952381
  1            5257         12041          5795    7.856e-004    1.702e-001    1.305e-007     11.375000      0.809324     10.594995      0.952880
  1            2721          9212          8599    3.436e-004    2.985e-001    4.945e-006      7.000000      0.675505      3.882899      0.903226
  1            1810         11373         19171    1.102e-004    1.712e-001    9.251e-006      5.125000      0.502391      1.078488      1.138889
  1            4503          9048          5692    9.495e-004    1.781e-001    4.179e-006      9.250000      0.769819      4.969987      0.993289
  1            5450         10719          7362    6.889e-004    1.477e-001    9.515e-007     11.125000      0.774915      8.140104      1.047059
  1            3232          8734           808    3.611e-004    2.526e-001    5.649e-007      7.750000      0.706965      3.387213      0.911765
  1            4019         10315          7461    1.582e-004    2.179e-001    9.306e-007      6.000000      0.595511      2.630227      0.960000
  1            3021         13958         11095    7.623e-004    2.019e-001    2.959e-008      7.125000      0.694119      2.496130      0.934426
  1            3463         10597          7886    7.512e-004    2.422e-001    2.191e-007      9.125000      0.736443      6.042537      1.089552
  1            4186         17193         19463    6.761e-004    2.790e-001    1.529e-008     11.375000      0.825465      8.922902      1.000000
  1            4931         13713           717    2.875e-004    1.123e-001    3.534e-006      8.375000      0.770898      4.143300      1.107438
  1            2342         13718          7764    2.694e-004    1.201e-001    2.882e-008      5.125000      0.566988      1.703707      0.964706
  1            1860          5981          9370    7.534e-004    1.524e-001    4.274e-008      7.500000      0.683893      2.926214      0.952381
  1            4923          7783         13597    4.202e-004    2.100e-001    7.202e-007      9.125000      0.737455      4.814828      0.948052
  1            2431          7292          9214    7.783e-004    1.741e-001    8.364e-008      8.625000      0.734841      4.675825      0.992806
  1            5081         13396            45    7.464e-004    1.146e-001    9.201e-006     12.500000      0.806279      5.637277      1.156069
  1            3197          5965         16134    1.102e-004    2.093e-001    6.353e-007      4.750000      0.568965      2.746004      0.808511
  1            2492         17065         10915    4.376e-004    2.218e-001    2.825e-006      5.125000      0.518844      0.827359      0.942529
  1            6232         12992          2380    3.752e-004    1.938e-001    2.751e-006      8.875000      0.722880      4.297513      1.028986
  1            2920          8440          1323    4.023e-004    2.259e-001    3.064e-008      7.500000      0.644751      3.635570      0.967742
  1            2280          1796         10852    3.727e-004    2.360e-001    2.418e-008      6.875000      0.710518      8.112975      0.833333
  1            3841         16348         11586    2.595e-004    2.426e-001    8.597e-007      6.375000      0.627767      3.400832      0.816000
