scenario      Ne            t             Na          µmic_1        pmic_1       snimic_1      NAL_1_1       HET_1_1       VAR_1_1       MGW_1_1    
  1            2100         14657          1168    9.276e-004    2.412e-001    2.596e-007      8.500000      0.770043      6.203642      0.918919
  1            4180          8703          8180    2.512e-004    2.966e-001    1.040e-007      7.375000      0.726767      7.175866      0.797297
  1            5215         18189         11279    4.477e-004    2.774e-001    8.649e-006     11.250000      0.715592      5.753322      1.052632
  1            5086         17186         10397    8.955e-004    1.143e-001    5.903e-006      8.500000      0.708119      7.336201      0.944444
  1            4819         15504          9796    5.341e-004    3.000e-001    4.616e-006      9.375000      0.754996      5.615308      0.974026
  1            3744         14694          7806    3.585e-004    3.000e-001    2.913e-006      7.875000      0.728006      9.530096      0.715909
  1            3094         17081           518    4.771e-004    3.000e-001    1.200e-007     10.875000      0.774319     12.449378      0.896907
  1            4095         17545         10468    8.329e-004    2.416e-001    3.087e-006      8.750000      0.698236      5.732811      0.939597
  1            6423         14149          7428    5.836e-004    1.786e-001    8.269e-006     12.250000      0.814994      5.439169      1.187879
  1            4535         10494         11731    3.526e-004    2.323e-001    4.237e-007      8.250000      0.778084      5.324610      0.929577
  1            4543         16821         12938    3.151e-004    2.715e-001    8.714e-006      9.500000      0.706139      5.073664      0.938272
  1            4370          6479         13777    2.678e-004    1.860e-001    7.962e-006      7.125000      0.617850      1.969509      1.151515
  1            3094         17081           518    4.771e-004    3.000e-001    1.200e-007      6.750000      0.648892      2.713004      0.947368
  1            4870         13468         15186    5.010e-004    2.969e-001    6.396e-006     12.000000      0.809763      5.612534      1.238710
  1            3462         16249         13558    8.567e-004    2.752e-001    2.085e-007     11.375000      0.817791     10.599635      0.978495
  1            5555         18245          3677    3.140e-004    2.988e-001    1.776e-006     10.125000      0.773195      8.591310      0.915254
  1            4199         12676         10813    5.693e-004    1.455e-001    1.887e-006      9.875000      0.747369      6.344002      0.975309
  1            4191          6974          8778    3.694e-004    2.594e-001    9.568e-007      8.125000      0.724959      3.387298      0.878378
  1            3431         15623         12901    6.201e-004    3.000e-001    9.566e-006      8.375000      0.694890      8.901052      0.858974
  1            4046         10548         14002    7.941e-004    1.390e-001    3.480e-006     11.375000      0.779989      6.600020      1.137500
  1            4695          9762          1625    6.064e-004    2.990e-001    7.570e-007     10.125000      0.679148      7.538032      1.000000
  1            3095          5853          4175    2.482e-004    2.990e-001    1.000e-005      9.375000      0.665342      5.637986      0.949367
  1            3985         10627          6489    3.593e-004    2.857e-001    8.901e-006      8.125000      0.745063      2.805802      1.074380
  1            5586         10920         19952    4.128e-004    2.666e-001    3.086e-007      7.875000      0.726036      5.486976      0.900000
  1            3909         10018         10950    1.652e-004    2.269e-001    1.380e-006      6.750000      0.631055      8.149734      0.776978
  1            3767          7525          7996    5.460e-004    1.982e-001    1.664e-006     13.000000      0.838585     13.054132      0.932735
  1            4948         11487          5896    7.218e-004    2.188e-001    4.706e-007      8.250000      0.768091      5.848536      0.929577
  1            3485          8675          6783    6.158e-004    1.875e-001    1.000e-005      8.750000      0.702994      9.089524      0.939597
  1            5714          9226          7316    2.312e-004    2.550e-001    1.666e-006      6.625000      0.510034      4.326807      0.913793
  1            5258          7880          4075    3.386e-004    2.821e-001    1.974e-008      9.000000      0.699524      5.981070      0.966443
  1            5089         13347          4914    2.353e-004    2.633e-001    1.064e-006      7.625000      0.740896      2.856361      1.051724
  1            4123         13413          5900    3.452e-004    2.513e-001    9.266e-008      8.000000      0.668541      4.611696      0.888889
  1            4351         10462          3689    4.012e-004    2.640e-001    6.713e-007      9.625000      0.698365     12.660805      0.832432
  1            4292         15976          7957    7.772e-004    2.869e-001    1.032e-006      9.000000      0.752815      5.444689      0.917197
  1            4727          8394          7226    5.385e-004    2.609e-001    8.792e-008      9.875000      0.754423     10.450036      0.957576
  1            6178         14468          3166    1.720e-004    1.860e-001    2.258e-006      8.125000      0.717579      4.133324      1.056911
  1            5714          9226          7316    2.312e-004    2.550e-001    1.666e-006      6.875000      0.644525      2.387454      0.916667
  1            3870         14056          6144    7.117e-004    2.783e-001    1.543e-006     11.250000      0.798512      9.017235      1.040462
  1            3934         15265         11708    5.144e-004    1.397e-001    1.192e-007      7.500000      0.728473      3.695851      1.034483
  1            3305         13951         11385    5.832e-004    2.836e-001    3.148e-008      8.625000      0.735364      7.110937      0.884615
  1            3387         14686         19992    6.838e-004    2.921e-001    3.219e-006     10.250000      0.819838     12.242023      0.921348
  1            5935          3182         11980    1.795e-004    1.608e-001    6.854e-006      8.250000      0.672777      4.141174      0.956522
  1            3847          8976          5091    3.924e-004    3.000e-001    4.555e-006      7.250000      0.646869      2.349519      0.974790
  1            2158         16745          7510    4.881e-004    2.778e-001    8.306e-006      6.875000      0.606108      3.172698      0.990991
  1            2510          8538         13447    8.370e-004    2.800e-001    8.513e-006      9.000000      0.749541      4.589198      1.142857
  1            2852          4246         12823    6.922e-004    2.696e-001    1.282e-007      8.125000      0.733549      5.076962      0.747126
  1            3985         10627          6489    3.593e-004    2.857e-001    8.901e-006     11.625000      0.769536     23.817883      0.973822
  1            4442          7888         17254    4.860e-004    2.597e-001    1.195e-006     10.500000      0.780320     13.300774      0.777778
  1            3598         13122          6044    6.664e-004    2.717e-001    9.663e-006     10.375000      0.731461      4.257993      1.037500
  1            4796         14520         19081    2.396e-004    2.923e-001    1.719e-006      7.000000      0.665951      4.661916      0.888889
  1            5567         12106          6671    3.069e-004    2.983e-001    7.796e-006     10.000000      0.703565      8.143116      0.969697
  1            2271         17028          7114    9.308e-004    2.283e-001    9.021e-006      8.625000      0.716895      4.468988      1.169492
  1            4420         13003          8209    7.736e-004    1.655e-001    1.697e-006     10.875000      0.797245     11.729310      0.935484
  1            3630          4767          1205    7.127e-004    2.808e-001    6.092e-008     10.125000      0.708895     11.221888      0.822335
  1            4691         10541         13349    2.712e-004    2.476e-001    1.951e-007      6.500000      0.617753      6.720964      0.684211
  1            3178         11067          2302    3.163e-004    2.813e-001    1.013e-007      5.250000      0.501133      2.296146      0.893617
  1            3347         11517          6086    3.089e-004    2.882e-001    1.014e-006      7.375000      0.658664      5.594789      0.907692
  1            4653         11005         14515    2.590e-004    2.630e-001    1.000e-005      7.250000      0.671390      3.132660      0.906250
  1            4180         17434          4547    5.672e-004    2.910e-001    1.054e-006     11.750000      0.799132     11.425165      0.926108
  1            3164         11772           578    5.059e-004    1.887e-001    4.603e-006      8.250000      0.667761      4.222767      1.015385
  1            5111          7434         12815    4.902e-004    2.991e-001    3.366e-008     11.000000      0.772238     11.802216      0.902564
  1            5545         14533          1096    3.350e-004    2.907e-001    6.233e-008      9.625000      0.811707      8.849153      0.865169
  1            4443         10438          1766    3.855e-004    2.245e-001    3.380e-006      9.375000      0.720002      5.681466      1.079137
  1            4018          9715          6306    4.256e-004    2.496e-001    4.589e-008      8.250000      0.641657     11.985525      0.795181
  1            5907          8788          3523    1.953e-004    2.160e-001    2.347e-008      6.625000      0.629358      2.519263      0.929825
  1            4338         14589          7716    4.337e-004    2.546e-001    3.691e-006     10.375000      0.737620     10.527406      1.037500
  1            4644         17667          9235    1.272e-004    2.755e-001    8.863e-006      5.250000      0.500670      1.401243      1.000000
  1            3907         14440          8215    4.708e-004    2.948e-001    6.615e-006      9.250000      0.738658      7.399544      0.850575
  1            4355         11940          5831    8.109e-004    1.342e-001    2.166e-006      8.625000      0.755744      4.846035      0.920000
  1            4152         15530          7960    4.901e-004    2.999e-001    3.997e-006     10.625000      0.742283     18.395744      0.904255
  1            4640         15126          6723    3.728e-004    1.752e-001    4.415e-008      8.500000      0.793082      3.970953      0.944444
  1            4961         14329          7232    2.801e-004    2.584e-001    2.305e-006      8.000000      0.678019      4.550706      0.992248
  1            4934         15113         11055    2.410e-004    2.996e-001    4.065e-007      6.875000      0.731147      3.422856      0.873016
  1            3819         11596         12666    3.659e-004    1.964e-001    3.031e-006      8.000000      0.715036      5.629074      1.024000
  1            3024         15897          3409    6.332e-004    2.558e-001    5.790e-006     10.250000      0.807221      5.730195      1.115646
  1            4104         13317         16097    2.964e-004    2.620e-001    7.540e-006      6.625000      0.671845      1.992504      1.060000
  1            3603         18785          2630    5.957e-004    3.000e-001    7.010e-006      8.500000      0.659946      6.906971      0.971429
