State	Muts	LogL	Ne_Mean	Ne_SD	Na_Mean	Na_SD	Mu_Mean	Mu_SD	t_Mean	t_SD
8544	0.129032	-4843.261959	2.520315	0.498584	3.220065	0.334716	-2.591452	0.29346	3.028738	0.516745
8545	0.043011	-4691.268041	2.494635	0.500179	3.194384	0.334716	-2.565772	0.272522	3.003058	0.536538
8546	0.118812	-4873.504369	4.238172	0.423214	4.937922	0.314886	-4.30931	0.270255	4.746596	0.572122
8547	0.068627	-4909.182524	2.853638	0.492101	3.553387	0.336359	-2.924775	0.278801	3.437149	0.579736
8548	0.065421	-4736.869015	4.137483	0.600023	4.837233	0.338423	-4.208621	0.259033	4.720995	0.59484
8549	0.071429	-4927.549616	3.11726	0.600023	3.817009	0.305573	-3.188397	0.263797	3.700771	0.641765
8550	0.096154	-5015.432646	2.815885	0.54176	3.515635	0.388028	-2.887022	0.268913	3.452414	0.618519
8551	0.057143	-4981.750117	2.213343	0.542049	2.903838	0.40352	-2.28448	0.277212	2.849871	0.637537
8552	0.063158	-4866.895868	3.763611	0.583473	4.403676	0.410705	-3.834748	0.275009	4.40014	0.637537
8553	0.1	-4998.925044	3.022597	0.585581	3.637121	0.447822	-3.063512	0.172124	3.698036	0.637537
8554	0.043011	-5066.497321	2.073702	0.514372	2.688226	0.43063	-2.114617	0.238129	2.749141	0.637537
8555	0.029126	-4760.600503	3.430688	0.532396	4.062243	0.384233	-3.471603	0.377682	4.106127	0.637537
8556	0.063158	-4920.729058	3.403594	0.56876	4.03515	0.349902	-3.445708	0.283375	4.080232	0.637537
8557	0.069307	-4810.7341	4.485246	0.613436	5.091028	0.363743	-4.516782	0.283375	5.169096	0.661673
8558	0.035714	-4821.561623	4.605285	0.613436	5.211067	0.363743	-4.63682	0.282499	5.289134	0.661673
8559	0.088235	-4416.072692	3.276254	0.58765	3.811957	0.394449	-3.268087	0.305295	3.963951	0.661673
8560	0.09434	-4463.940653	2.728456	0.58765	3.264159	0.388452	-2.72029	0.305129	3.416153	0.693445
8561	0.085714	-4567.33476	2.297708	0.588224	2.935503	0.324797	-2.316117	0.301213	3.01198	0.737288
