State	Muts	LogL	Ne_Mean	Ne_SD	Na_Mean	Na_SD	Mu_Mean	Mu_SD	t_Mean	t_SD
2270	0.316327	-3427.511411	3.024346	0.476089	4.215869	0.231688	-3.116428	0.113997	4.52732	0.675999
2271	0.265306	-3201.745191	4.285227	0.476089	5.465607	0.256807	-4.246287	0.054352	5.788201	0.726617
2272	0.284091	-3500.447554	4.330377	0.405877	5.518506	0.185587	-4.299186	0.029515	5.694634	0.598592
2273	0.407407	-3373.691366	3.315138	0.445287	4.503267	0.197903	-3.283947	0.055378	4.679395	0.519202
2274	0.276596	-3433.198299	2.344363	0.451536	3.531056	0.129637	-2.313171	0.030433	3.70862	0.65729
2275	0.353535	-3214.287254	3.214995	0.502989	4.53241	0.194966	-3.19462	0.066705	4.590068	0.382879
2276	0.229885	-3272.226174	4.038657	0.502989	5.322201	0.212718	-4.018281	0.14488	5.41373	0.469961
2277	0.185567	-3353.940793	3.876666	0.565379	5.205999	0.253226	-3.90208	0.132838	5.297528	0.404051
2278	0.275229	-3591.927082	2.402068	0.372005	3.727798	0.402016	-2.361064	0.08618	3.70403	0.328889
2279	0.285714	-3287.04068	2.518273	0.481713	3.906227	0.294697	-2.431726	0.154558	3.820235	0.479722
2280	0.24359	-3662.540697	2.436644	0.442192	3.814233	0.318219	-2.439028	0.105014	3.738263	0.540026
2281	0.343284	-3551.894831	3.521275	0.430138	4.91954	0.176943	-3.512357	0.034968	4.811592	0.525356
2282	0.303922	-3786.495181	3.261651	0.358206	4.788873	0.432015	-3.252734	0.036993	4.551969	0.496537
2283	0.336957	-3402.332069	3.043528	0.450742	4.378884	0.052904	-3.034611	0.042709	4.333846	0.473811
2284	0.29703	-3352.827149	5.400564	0.486673	6.827913	0.088563	-5.385449	0.051629	6.690881	0.498645
2285	0.367816	-3437.404839	3.237306	0.367524	4.670343	0.156427	-3.138152	0.018747	4.527623	0.475931
2286	0.490196	-3400.131322	3.477269	0.37371	4.925838	0.162105	-3.393647	0.017293	4.875631	0.533229
2287	0.362745	-3315.32131	1.970288	0.391699	3.454415	0.16423	-1.886665	0.001213	3.368649	0.411995
2288	0.39759	-3601.5333	2.798683	0.330459	4.28281	0.155648	-2.71506	0.006044	4.197045	0.497893
2289	0.397849	-3292.414426	2.930323	0.428052	4.346233	0.100037	-2.814848	0.036717	4.296832	0.379009
2290	0.326531	-3801.967203	3.8699	0.323386	5.372574	0.146177	-3.842913	0.106145	5.284397	0.620992
2291	0.261364	-3614.362098	2.160708	0.410227	3.663383	0.045737	-2.133721	0.103949	3.575205	0.499012
2292	0.308642	-3511.873377	2.789095	0.389614	4.276941	0.134459	-2.74728	0.032896	4.203592	0.536395
2293	0.295238	-3796.761534	2.040855	0.389614	3.500837	0.219799	-2.071928	0.101299	3.459908	0.559119
2294	0.366337	-3337.924141	2.577014	0.490129	3.993507	0.281755	-2.608087	0.020408	3.996068	0.464244
2295	0.391304	-3426.89368	4.740018	0.502271	6.254309	0.134221	-4.771091	0.001607	6.159071	0.425349
2296	0.398058	-3574.462577	4.035657	0.502271	5.549949	0.04873	-4.06673	0.003928	5.454711	0.790716
2297	0.330097	-3541.021326	2.886408	0.496303	4.365631	0.671432	-2.93916	0.046438	4.305462	0.754318
2298	0.204819	-3337.07232	3.685264	0.496303	5.055054	0.516217	-3.628583	0.100253	5.104318	0.65212
2299	0.244898	-3541.929665	3.549794	0.478211	4.944092	0.686425	-3.534671	0.119581	5.010405	0.863279
2300	0.207921	-3646.771071	1.904485	0.573946	3.36132	0.435441	-1.889011	0.036629	3.364746	0.696101
2301	0.271739	-3417.976682	2.203575	0.461357	3.641891	0.334346	-2.106183	0.165478	3.663836	0.746347
2302	0.2375	-3382.931369	1.858403	0.399735	3.267656	0.343605	-1.761012	0.192718	3.318664	0.643853
2303	0.135922	-3826.839063	1.446905	0.307683	2.856158	0.160939	-1.32499	0.308025	2.907166	0.673409
2304	0.204082	-3716.306962	3.288915	0.332578	4.698168	0.241609	-3.167	0.263361	4.749177	0.782206
2305	0.171429	-3784.718037	2.535828	0.33916	3.945081	0.295686	-2.413912	0.252318	3.996089	0.841325
2306	0.271845	-3743.070994	3.864371	0.428488	5.292455	0.059908	-3.781779	0.338227	5.324632	0.900621
2307	0.31	-3531.440847	2.28197	0.379257	3.660286	0.058468	-2.172713	0.230177	3.663285	0.540872
2308	0.23301	-3582.433532	3.88452	0.37597	5.320111	0.033517	-3.775263	0.245365	5.265834	0.43163
2309	0.218391	-3487.092768	4.265329	0.384324	5.697401	0.219925	-4.156072	0.223069	5.646643	0.320125
2310	0.292929	-3542.221411	3.624659	0.376883	5.056731	0.212722	-3.527748	0.2282	5.056781	0.642887
2311	0.31068	-3453.727816	4.025937	0.439623	5.316588	0.087108	-3.929026	0.230645	5.458059	0.591311
2312	0.307692	-3380.177464	3.050131	0.53275	4.340782	0.038176	-2.95322	0.160569	4.482253	0.451519
2313	0.452632	-3573.903885	4.313366	0.510991	5.713476	0.034707	-4.267545	0.176605	5.743765	0.435286
2314	0.290323	-3601.830496	3.671359	0.510991	5.09921	0.129424	-3.625539	0.104078	5.074887	0.465942
2315	0.383178	-3505.556418	4.559113	0.549599	6.021176	0.102686	-4.513292	0.015207	5.962641	0.423407
