01_Curvina_NoNulls <NM=1.0NF>
Cac03
Tmac06
Cac14
Cac18
Cyne20
Soc418
Soc423
Soc609
Pop
Co09-CO13 ,  176180 134136 154154 241249 270270 250250 166168 255267
Co09-SC01 ,  184188 134136 164168 241251 270270 250251 166166 251255
Co09-SC02 ,  174194 134134 152168 247251 270270 251252 166168 259267
Co09-SC03 ,  184190 134138 164166 251255 270270 250251 166166 255255
Co09-SC04 ,  174176 134134 164166 237249 270270 251252 166168 259259
Co09-SC05 ,  176176 134136 162164 247251 270270 250250 166166 255255
Co09-SC06 ,  174178 134134 162170 241255 270274 250252 166166 259259
Co09-SC07 ,  178178 134134 156166 237241 270270 250250 166166 255255
Co09-SC08 ,  178178 134134 152166 237237 264270 251252 166168 255255
Co09-SC10 ,  172178 134134 152158 237247 270270 246250 166166 255255
Co09-SC11 ,  176182 134136 150168 239255 270270 251251 166168 255261
Co09-SC12 ,  178182 134136 166170 243247 270270 250251 166166 255255
Co09-SC14 ,  178180 134136 162166 241253 270270 246251 166166 255257
Co09-SC15 ,  174178 134134 154166 237251 270270 250250 166168 255257
Co09-SC16 ,  168176 134136 154156 243249 270270 246252 166166 249255
Co09-SC18 ,  176178 134136 164166 241241 270270 246251 166166 249255
Co09-SC19 ,  176190 136136 150166 237251 242274 250251 166168 255259
Co09-SC20 ,  190190 134134 166168 237251 270270 251252 166166 259265
Co09-SC21 ,  184188 134136 164168 241251 270270 250251 166166 251255
Co09-SC23 ,  174188 134136 166178 239241 270270 250250 166168 249257
Co09-SC24 ,  176196 134134 166168 241253 270270 250252 166166 255259
Co09-SC25 ,  168174 134136 162168 237253 270270 250251 166166 255257
Co09-SC27 ,  174182 134140 162170 241247 270274 251251 166168 255261
Co09-SC28 ,  178190 134134 138138 237241 270270 250250 166166 259261
Co09-SC29 ,  190190 134136 162182 241255 270270 250250 166166 259259
Co09-SC30 ,  174178 134136 166166 241249 270270 250250 166166 257261
Co09-SC31 ,  184196 134136 166168 237253 270270 250251 166166 249255
Co09-SF05 ,  182188 134136 166166 237247 270270 251252 166168 255259
Co09-SF08 ,  172212 136136 162166 237249 270270 250251 166166 257271
Co09-SF12 ,  174182 134136 160166 241249 270270 250252 166166 255255
Co09-SF13 ,  176182 134136 164164 241241 270270 250252 166168 249253
Co09-SF15 ,  176192 134134 166166 241249 270272 250251 166166 255265
Co09-SF16 ,  174182 134138 166166 241241 270270 251254 166166 255255
Co09-SF20 ,  174184 134134 154184 241251 270270 250250 166166 255257
Co09-SF21 ,  176178 134140 156168 237241 266270 250251 166168 255259
Co09-SF22 ,  176178 134134 150170 237239 270274 251254 166168 251259
Co09-SF24 ,  174190 134136 164166 237249 262270 250250 166166 255257
Co09-SF25 ,  176178 134134 164168 237241 266270 250251 166168 255261
Co09-SF27 ,  174178 134136 168170 241249 270270 250251 166168 255257
Co09-SF28 ,  174178 134134 154172 237241 270270 250252 166166 255257
Co09-SF29 ,  174176 134134 162172 237241 270270 250251 166166 255259
Co09-SF30 ,  176176 134134 150168 237241 270282 251251 166166 253257
Co09-SF301 ,  174176 134136 154164 237249 270274 251252 166166 253255
