scenario      Ne            t             Na          µmic_1        pmic_1       snimic_1      NAL_1_1       HET_1_1       VAR_1_1       MGW_1_1    
  1            5082          9352          8010    5.941e-004    3.000e-001    4.056e-006     12.909091      0.779939     21.102146      0.913183
  1            5809         15658          8269    6.030e-004    3.000e-001    6.676e-006     13.727273      0.768878     20.389925      0.961783
  1            4279          9193          3374    8.670e-004    3.000e-001    7.525e-006     12.454545      0.798362     13.923442      1.062016
  1            3664         15533          4661    9.467e-004    3.000e-001    1.499e-007     10.454545      0.795681     10.320156      0.920000
  1            5993          8512          1345    7.267e-004    2.970e-001    8.928e-007     11.000000      0.822209      6.338618      1.008333
  1            4166          5578          9643    7.450e-004    3.000e-001    1.374e-006     13.818182      0.817990     19.972168      0.878613
  1            5607          6568          5167    7.628e-004    3.000e-001    4.887e-006     10.545455      0.742730     13.308450      0.875472
  1            4944          5988          9808    7.115e-004    3.000e-001    9.839e-006     12.181818      0.774113     10.243506      0.985294
  1            5491         10047          9588    8.461e-004    3.000e-001    1.000e-006     10.454545      0.804101      8.942000      0.950413
  1            5419         13183          9282    6.843e-004    2.423e-001    2.825e-006     11.454545      0.807393     14.008287      0.893617
  1            5688         12666          6962    5.588e-004    3.000e-001    5.841e-008     11.727273      0.770760     17.565680      0.883562
  1            5209         14999         18042    9.572e-004    3.000e-001    8.861e-008     12.636364      0.821625     39.293617      0.751351
  1            5270         16938          7430    9.869e-004    3.000e-001    1.861e-006     15.545455      0.802342     21.249039      1.049080
  1            3626          7430          8175    9.507e-004    2.976e-001    3.200e-006     11.545455      0.812361     16.112024      0.969466
  1            3374         16097           112    9.562e-004    3.000e-001    7.547e-006     11.363636      0.784234      8.802205      0.972763
  1            4907         13710          6098    9.742e-004    3.000e-001    4.654e-007     14.090909      0.820138     11.578869      1.029900
  1            5080         14765          8649    7.842e-004    2.705e-001    8.059e-008      8.545455      0.788382      5.926863      0.944724
  1            5094         21663          8777    5.538e-004    3.000e-001    4.158e-006      9.909091      0.731426     11.625592      0.900826
  1            5796         11491         12590    9.789e-004    2.831e-001    9.350e-007     12.727273      0.799079     14.784409      0.939597
  1            3599         14685          6872    6.508e-004    3.000e-001    1.017e-007     11.272727      0.758671     10.598543      0.895307
  1            5512          6395          4739    6.032e-004    3.000e-001    2.667e-006     10.818182      0.778057     19.205214      0.793333
  1            3080         19912          2770    8.929e-004    3.000e-001    1.647e-006     12.545455      0.805088     15.847881      0.978723
  1            6114          9238          5190    8.775e-004    3.000e-001    6.828e-006     13.818182      0.846329     10.862111      1.085714
  1            4342         19046           354    7.796e-004    2.930e-001    4.344e-006     10.545455      0.778211      9.235810      0.991453
  1            4431          9219          5571    6.668e-004    3.000e-001    2.682e-006     11.363636      0.786637     10.988535      0.972763
  1            6077         16404          5666    8.866e-004    3.000e-001    2.805e-008     12.909091      0.805864     29.132042      0.850299
  1            3833          6830          3431    7.239e-004    3.000e-001    2.594e-007     10.363636      0.766894      9.942889      0.835165
  1            5224         11593          4373    9.171e-004    3.000e-001    1.203e-006     14.090909      0.841094     18.018703      0.936556
  1            4948         12266          7601    6.583e-004    2.906e-001    3.412e-008     12.181818      0.795822     15.906282      0.937063
  1            5811          7243          6168    6.143e-004    2.996e-001    6.853e-006     12.545455      0.830612     10.207500      0.938776
  1            5054         15210          4861    8.445e-004    3.000e-001    6.061e-006     16.000000      0.865445     17.771229      0.997167
  1            3787         10379          7855    9.072e-004    2.885e-001    1.673e-006     12.727273      0.763774     18.660280      0.853659
  1            4647          6552          9563    8.746e-004    2.762e-001    6.686e-006     11.636364      0.792812     15.583071      0.907801
  1            5329          1594          7254    8.181e-004    3.000e-001    5.493e-006     11.727273      0.794311     10.247726      1.032000
  1            6208          5487         15942    8.809e-004    3.000e-001    7.183e-008     14.454545      0.840723     23.486164      0.943620
  1            5722         19899         10201    7.457e-004    2.791e-001    3.525e-006     15.545455      0.811146     21.560446      0.897638
  1            5069          4898          4186    9.858e-004    2.995e-001    3.790e-007     10.000000      0.803561     13.151888      0.827068
  1            5955            30         11741    3.567e-004    3.000e-001    6.007e-008     11.727273      0.795542     23.950207      0.784195
  1            5473         13409          5342    8.917e-004    2.549e-001    1.713e-006     11.454545      0.819498      7.574022      0.958175
  1            4813          7615         17623    7.974e-004    2.468e-001    4.073e-006     12.727273      0.787244     12.564205      0.982456
  1            3995          2401          6292    7.657e-004    2.853e-001    5.568e-006     13.909091      0.783384     12.722578      0.996743
  1            4695         20423          6720    8.890e-004    3.000e-001    5.339e-007     11.454545      0.795459      9.336710      0.947368
  1            5247          4952         10780    8.842e-004    1.910e-001    5.216e-006     12.181818      0.837535     14.649824      0.974545
  1            7020         10539          1992    4.669e-004    3.000e-001    1.994e-006     11.818182      0.795529     15.204885      0.915493
  1            4894          9790         11131    8.012e-004    2.984e-001    2.663e-007     15.272727      0.853356     27.495699      0.865979
  1            4972         14286          7632    9.852e-004    2.972e-001    1.303e-007     11.909091      0.785508      6.387337      1.000000
  1            3742         22121         15409    9.748e-004    3.000e-001    2.327e-006      9.363636      0.751420      9.525918      0.847737
  1            4851          6690         18710    8.412e-004    2.972e-001    8.219e-006     13.181818      0.800889     17.084208      0.900621
  1            5069          4898          4186    9.858e-004    2.995e-001    3.790e-007     16.272728      0.828732     16.302221      1.040698
  1            4455         12772          2852    9.354e-004    2.915e-001    1.640e-006     10.454545      0.744942      7.988918      0.934959
  1            4538         10142          5545    8.928e-004    2.694e-001    4.349e-007     12.272727      0.805158     13.059696      0.846395
  1            5298          9693          4672    8.720e-004    3.000e-001    9.431e-007     12.363636      0.800164     11.993947      0.971429
  1            5042         21136          2510    7.857e-004    2.920e-001    1.293e-006     12.454545      0.822934     11.161217      0.958042
  1            5060          6612          5779    7.742e-004    2.934e-001    2.734e-006     11.545455      0.781782      9.716913      1.007936
  1            4492         11720          3670    6.121e-004    2.960e-001    8.408e-006     12.727273      0.809988      7.618696      1.040892
  1            5777          7988          7234    9.251e-004    2.762e-001    1.139e-007     12.909091      0.816398     18.236385      0.850299
  1            6151         13245          8564    7.111e-004    2.346e-001    3.459e-006     12.818182      0.809144      9.880907      1.128000
  1            5491         10047          9588    8.461e-004    3.000e-001    1.000e-006     13.000000      0.821216      8.579523      1.055351
  1            6162          7617          5325    8.214e-004    2.966e-001    1.280e-007      9.727273      0.770137      9.891892      0.891667
  1            5366          8293          9241    8.686e-004    2.228e-001    2.088e-008     15.909091      0.845024     32.850864      0.948510
  1            5939         19964         15357    7.054e-004    2.953e-001    4.139e-007     11.545455      0.812334     18.588499      0.866894
  1            4382          4994          3773    6.702e-004    2.984e-001    3.991e-008     10.181818      0.729911     11.103974      0.925620
  1            4222         17307           524    7.596e-004    3.000e-001    5.104e-006     12.454545      0.784854     13.476397      0.941581
  1            3407          1058          1912    1.000e-003    3.000e-001    7.857e-006     13.545455      0.767633     24.335442      0.928349
  1            5631          8903          3294    8.948e-004    3.000e-001    3.861e-007     12.000000      0.799824      8.983559      0.916667
  1            4421         10994          4088    6.678e-004    3.000e-001    9.457e-006     10.545455      0.774288      8.593304      1.094340
  1            3746         10634          4650    9.780e-004    2.955e-001    3.421e-006     12.909091      0.821163     23.878141      0.823188
  1            6498         16858          9072    8.688e-004    2.892e-001    4.656e-006     11.090909      0.821229      7.627335      1.038298
  1            3047          7743          7627    7.803e-004    3.000e-001    9.057e-006     11.000000      0.745544     11.944125      0.927203
  1            5608         20080          4226    6.396e-004    2.625e-001    7.938e-008     11.909091      0.840792     13.946324      0.963235
  1            5646         16903          3935    7.218e-004    2.954e-001    3.555e-006     12.272727      0.821045      9.923146      0.950704
  1            4784         13376          8125    9.009e-004    2.993e-001    6.758e-007     14.545455      0.803190     15.588307      0.966767
  1            4360          6245         10253    8.528e-004    1.876e-001    4.725e-006     11.545455      0.789296     10.490022      0.969466
  1            3562         16854         14049    9.613e-004    3.000e-001    3.801e-007     12.545455      0.823218     24.982119      0.766667
  1            4647          6435          5018    9.793e-004    2.843e-001    7.856e-006     14.181818      0.831383     13.934672      0.987342
  1            4833         17740          3482    9.882e-004    3.000e-001    1.602e-006     10.909091      0.832507      9.035816      0.930233
  1            5249         14677          7011    7.416e-004    2.946e-001    3.280e-006     11.363636      0.812875     10.938150      0.939850
  1            5008         11945          4456    8.032e-004    3.000e-001    3.611e-006     10.090909      0.778006      5.848191      1.000000
  1            6764         10992          9457    6.579e-004    2.923e-001    5.701e-007     11.636364      0.806457     11.070921      0.898246
  1            5193         10608          6308    7.775e-004    2.899e-001    9.235e-006     14.272727      0.838033     17.047678      0.940120
  1            3320         16580          9750    9.608e-004    3.000e-001    2.199e-008     10.454545      0.711566      5.822883      0.995671
