scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           4674           6907           7903       9.659e-4       2.998e-1       5.353e-6
   1           4858          10470           9809       5.357e-4       3.000e-1       3.447e-6
   1           3874           9380           4569       9.046e-4       2.248e-1       7.224e-6
   1           4094           4331          11511       6.574e-4       3.000e-1       1.000e-5
   1           4049           7921           9616       9.043e-4       2.524e-1       2.274e-6
   1           6133          13235          12068       7.683e-4       3.000e-1       8.550e-6
   1           3813           5920           6168       6.761e-4       2.961e-1       7.999e-6
   1           5318          14525           6462       6.829e-4       3.000e-1       6.311e-7
   1           5355           7650           9611       8.041e-4       2.810e-1       1.000e-5
   1           4967          11550           5975       7.141e-4       3.000e-1       7.550e-6
   1           4236          10598           5290       7.111e-4       2.582e-1       3.295e-6
   1           4156          14614           4306       9.682e-4       2.962e-1       9.561e-7
   1           4431           7136          11054       7.267e-4       1.673e-1       7.484e-6
   1           3889          18044           7425       6.180e-4       3.000e-1       1.000e-5
   1           3822           6192          10524       8.970e-4       3.000e-1       8.765e-6
   1           5031          16773           3825       7.250e-4       3.000e-1       4.287e-6
   1           5975          14313           8308       6.424e-4       3.000e-1       9.207e-6
   1           3140           2779           2708       8.157e-4       3.000e-1       1.627e-6
   1           4279          16481          15768       6.680e-4       3.000e-1       7.411e-6
   1           3565           6332           1906       9.489e-4       3.000e-1       1.217e-6
   1           6002          12447           4347       5.367e-4       3.000e-1       4.358e-7
   1           5669          15790           8093       4.658e-4       2.596e-1       1.000e-5
   1           5474          17115           5704       6.642e-4       3.000e-1       2.297e-7
   1           5366           8033          18814       5.039e-4       3.000e-1       1.000e-5
   1           4901          14358           8009       5.127e-4       3.000e-1       9.968e-6
   1           7222          17801           7420       2.649e-4       2.602e-1       7.263e-6
   1           4055          10180           2491       9.491e-4       3.000e-1       8.969e-6
   1           2815          14557           7047       8.983e-4       3.000e-1       6.765e-6
   1           4486          14430          12884       3.836e-4       3.000e-1       8.725e-6
   1           3905          11770           7427       9.586e-4       2.876e-1       8.090e-6
   1           3939           9642          17116       6.331e-4       2.903e-1       9.135e-6
   1           4810           9104          14385       5.611e-4       3.000e-1       8.063e-6
   1           5083          17840           9927       9.433e-4       3.000e-1       7.559e-6
   1           3429          13885          11721       8.079e-4       2.891e-1       8.625e-6
   1           4932           5921           6570       7.168e-4       2.789e-1       5.077e-6
   1           2534          13780           5706       9.106e-4       3.000e-1       8.313e-6
   1           4365          11298           5099       7.234e-4       3.000e-1       1.000e-5
   1           4558          17926          16970       6.852e-4       2.992e-1       1.000e-5
   1           5003          14839          10446       5.673e-4       2.705e-1       9.670e-6
   1           4514          13390          10501       8.212e-4       3.000e-1       6.938e-6
   1           3330          15974          12200       8.135e-4       3.000e-1       4.849e-6
   1           4498          18024          14900       6.975e-4       2.603e-1       3.421e-6
   1           4300           8645           9212       8.102e-4       3.000e-1       9.316e-7
   1           3865          18336           7935       8.517e-4       3.000e-1       5.818e-6
   1           6287          13329           7290       5.163e-4       3.000e-1       6.573e-6
   1           4130           9060           7556       7.993e-4       3.000e-1       7.576e-6
   1           4504           8305          11032       8.062e-4       2.842e-1       8.563e-6
   1           5854          13474           4041       6.039e-4       3.000e-1       8.762e-6
   1           4440           6283           7322       9.707e-4       3.000e-1       8.190e-6
   1           4859          17839          14254       8.664e-4       3.000e-1       6.802e-6
   1           3603          13633           1343       8.944e-4       3.000e-1       8.295e-6
   1           4560          10459           4042       6.080e-4       2.978e-1       7.002e-6
