scenario      Ne            t             Na          µmic_1        pmic_1       snimic_1      NAL_1_1       HET_1_1       VAR_1_1       MGW_1_1    
  1            3730          8467          9409    1.979e-004    1.048e-001    7.033e-007      6.545455      0.638961      4.729235      0.900000
  1            2458          7932         11594    2.763e-004    2.582e-001    2.310e-008      6.636364      0.631479      4.264680      0.884848
  1            4414          8644          1716    6.151e-004    2.083e-001    1.155e-007     10.909091      0.783715      7.804203      1.008403
  1            3274         13245          4248    6.759e-004    1.769e-001    1.646e-008      7.727273      0.732751      4.058807      0.885417
  1            3205         10002          9240    1.411e-004    1.499e-001    5.184e-006      5.181818      0.582157      2.160421      0.950000
  1            2845         21192          5234    4.712e-004    2.672e-001    1.703e-008      9.545455      0.703878      8.645576      0.846774
  1            3563          6784          1675    8.836e-004    1.404e-001    3.000e-006      7.727273      0.707238      3.044347      1.011905
  1            7424          7083          6151    7.048e-004    1.797e-001    2.180e-007     11.181818      0.776780     12.753793      0.972332
  1            2393          1828         10759    4.441e-004    1.498e-001    2.138e-006      8.636364      0.733633      6.882201      0.931373
  1             308          9555         10197    2.188e-004    1.389e-001    4.417e-007      2.272727      0.146284      0.193033      0.862069
  1            4118         10017          5976    2.970e-004    2.416e-001    2.935e-006      7.909091      0.642672      4.182996      0.966667
  1            3566         10815         14736    1.772e-004    2.136e-001    2.481e-007      6.454545      0.595542      2.114141      0.860606
  1            2605          4595          4979    6.078e-004    2.538e-001    4.770e-008      8.909091      0.733023      6.388926      0.960784
  1            3431          3692         18254    6.799e-004    2.693e-001    1.504e-007     11.090909      0.758555     10.788680      0.960630
  1            5695          9289          6456    6.876e-004    1.456e-001    1.620e-006     10.909091      0.779250     10.416692      0.892193
  1            4275          6191          9581    3.739e-004    1.788e-001    3.844e-006      6.727273      0.688101      2.723773      0.980132
  1            3278         14073          4213    6.621e-004    2.613e-001    1.221e-008      9.727273      0.737991      7.631833      0.959641
  1            5857         10841         11425    7.209e-004    1.993e-001    4.662e-006     13.545455      0.828366     15.233894      0.990033
  1            3790          8801         12806    5.179e-004    2.831e-001    3.164e-007      7.727273      0.606816      3.829014      0.939227
  1            3993         13828         11408    5.557e-004    2.302e-001    7.930e-008     11.090909      0.748133      9.620873      0.890511
  1            2247          9855          5644    3.657e-004    1.265e-001    4.382e-006      4.454545      0.481062      0.970956      0.980000
  1            4853         13514          8720    7.542e-004    1.004e-001    7.692e-008     10.727273      0.805315      8.988472      1.008547
  1            2699          7544          2734    4.337e-004    1.380e-001    4.410e-007      8.090909      0.708923      6.595639      0.941799
  1            3646         14385         11891    3.452e-004    1.226e-001    3.350e-006      7.181818      0.642046      2.361112      0.957576
  1            3496         14159         11392    9.072e-004    2.012e-001    1.430e-008     11.090909      0.735117     20.814707      0.865248
  1            2763         12502         20581    1.285e-004    1.866e-001    8.213e-007      5.090909      0.529266      2.071607      0.861538
  1            3573         10043          1556    2.814e-004    1.256e-001    8.975e-008      5.727273      0.602400      2.049129      0.947368
  1            3287         11897         11877    4.669e-004    1.965e-001    1.587e-007      8.181818      0.694276      3.286046      0.937500
  1            3827          9225          2786    8.770e-004    2.464e-001    1.206e-008      9.545455      0.724050      5.632918      0.954545
  1            2971         16838          5450    3.398e-004    2.048e-001    5.980e-008      5.727273      0.562721      1.206264      0.954545
  1            5688         16093         17525    1.264e-004    2.594e-001    5.358e-006      7.000000      0.561174      5.090576      0.875000
  1            3870         15826         12152    8.475e-004    1.931e-001    4.855e-008     11.727273      0.813083     16.351246      0.886598
  1            5284          9201          9010    6.723e-004    1.348e-001    3.250e-008      9.818182      0.778920      5.898642      0.947368
  1            4162         10907         10127    6.835e-004    2.532e-001    6.074e-007     11.000000      0.798917      9.679684      0.927203
  1            2383          5214         13999    6.757e-004    1.723e-001    1.517e-007      7.454545      0.723351     10.884706      0.788462
  1            5019         10266           515    6.216e-004    2.389e-001    9.422e-006     13.636364      0.798087      9.770252      1.094890
  1            5759          8170         13803    8.111e-004    2.420e-001    6.278e-007     12.000000      0.807294     10.684338      0.923077
  1            4525          8768         19367    4.046e-004    2.655e-001    1.792e-006      8.363636      0.734826      4.134923      0.844037
  1            1146          9470         14587    8.501e-004    1.229e-001    3.511e-008      6.000000      0.615501      2.342514      0.942857
  1            3518          7994          3116    3.932e-004    2.941e-001    1.373e-008      9.727273      0.747779      6.598273      0.839216
  1            2559          7298         14356    2.853e-004    1.801e-001    6.663e-007      6.000000      0.551227      4.401631      0.923077
  1            3955          8320         12494    5.965e-004    1.434e-001    4.182e-008      9.181818      0.771907     12.844902      0.804781
  1            4347         14408          7416    6.408e-004    1.293e-001    5.399e-007      9.000000      0.764612      4.977225      0.994975
  1            5428         13282         13240    9.336e-004    1.301e-001    1.346e-008     11.636364      0.757244     18.919044      0.810127
  1            2150          1184          5898    7.539e-004    1.039e-001    7.011e-008      7.363636      0.703046      5.127048      0.843750
  1            3790         10331          7010    2.680e-004    2.110e-001    3.654e-008      6.909091      0.607349      3.566050      0.955975
  1            3957         11643          8779    5.430e-004    2.249e-001    3.538e-008      9.454545      0.759184      6.742392      0.936937
  1            3610          7129         15693    3.668e-004    2.549e-001    1.324e-006      9.272727      0.710945     11.356164      0.781609
  1            3350          7977          7407    2.684e-004    2.706e-001    3.168e-007      6.181818      0.559851      3.933939      0.860759
  1            5519          7876         13759    9.349e-004    2.951e-001    3.354e-007     14.090909      0.849188     15.878255      0.974843
  1            1982         14308           265    3.711e-004    1.646e-001    4.077e-006      5.545455      0.553714      1.815125      1.008264
  1            4111          9954          5759    9.125e-004    1.663e-001    1.277e-007      9.545455      0.786770      8.563967      0.889831
  1            6086         10350         17396    9.292e-004    2.245e-001    9.742e-006     12.727273      0.822137     13.025875      1.029412
  1            4961          7701         11895    1.102e-004    2.093e-001    6.607e-007      5.272727      0.533361      4.549700      0.789116
  1            4349         12045          6113    8.744e-004    1.293e-001    2.670e-006      9.909091      0.799085      5.383075      1.106599
  1            2976          6253         10415    7.719e-004    1.333e-001    6.033e-007      8.636364      0.749810      5.994648      0.909091
  1            3102         10021          1118    4.377e-004    2.090e-001    4.832e-008      7.363636      0.729810      8.617102      0.861702
  1            3238          7436          9344    8.900e-004    1.927e-001    5.963e-007     10.000000      0.800936     10.856375      0.883534
  1            4267          7600         10868    9.909e-004    2.629e-001    1.500e-008     13.454545      0.792373     13.458374      0.961039
  1            2582          4866          8233    5.388e-004    1.563e-001    1.398e-007      8.272727      0.738779      8.173815      0.933333
  1            4596          8355         11103    9.260e-004    2.543e-001    8.988e-008     13.363636      0.849906     20.644186      0.890909
  1            4175         12866         15858    8.962e-004    2.812e-001    3.880e-007     13.363636      0.819425     16.239658      0.945338
  1            2677          7325          8481    3.989e-004    1.959e-001    1.934e-006      7.909091      0.676402      5.625848      0.956044
  1            2909         10033          4458    5.405e-004    1.189e-001    3.569e-006      7.818182      0.689017      4.582892      0.855721
  1            5582          4221          4097    8.535e-004    1.540e-001    1.698e-006     11.272727      0.753170      5.024879      1.107143
  1            1824          9120          5595    1.589e-004    1.814e-001    1.149e-006      4.181818      0.427764      0.672223      0.884615
  1            3564          6494         11975    7.206e-004    2.490e-001    7.431e-006     10.818182      0.733851     17.340734      0.770227
  1            3329         11628         17432    2.591e-004    2.304e-001    7.392e-007      6.181818      0.596179      3.892151      0.824242
  1            3001          8192          4606    7.577e-004    1.840e-001    1.540e-007      9.090909      0.763827      4.725989      0.930233
  1            4971         11388         14526    2.063e-004    1.109e-001    3.635e-008      6.363636      0.653647      3.417775      0.933333
