scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           2161          10495           3041       9.681e-4       2.977e-1       2.510e-8
   1           2937           4670           4053       4.685e-4       2.556e-1       9.598e-6
   1           6053           6462           9893       3.682e-4       2.945e-1       5.770e-7
   1           4163           5110           6741       7.287e-4       2.697e-1       1.039e-6
   1           4120          11965          16334       2.866e-4       2.916e-1       4.670e-7
   1           3604          11565           9466       7.257e-4       2.800e-1       2.935e-6
   1           4919           7863          10829       9.313e-4       2.272e-1       1.561e-7
   1           4126          11672          15042       3.096e-4       3.000e-1       7.824e-6
   1           1893           7490          10722       9.454e-4       2.759e-1       4.264e-6
   1           4390          12683          10319       3.038e-4       3.000e-1       2.684e-8
   1           5220          10393           7435       7.703e-4       2.598e-1       3.395e-8
   1           3184          13167           5091       5.643e-4       2.981e-1       8.252e-7
   1           3142          20430           5016       3.980e-4       2.918e-1       5.628e-6
   1           3343           9883           6273       4.823e-4       2.759e-1       3.087e-6
   1           4265          13796          12515       7.175e-4       2.761e-1       3.756e-8
   1           3536          14958           5572       5.924e-4       2.877e-1       6.583e-6
   1           5133          18635          11695       7.149e-4       2.224e-1       5.716e-8
   1           5462          17946           3868       5.967e-4       2.873e-1       4.965e-6
   1           4427           2468          10982       5.451e-4       1.879e-1       6.237e-8
   1           3350           6964          12476       4.469e-4       2.501e-1       3.034e-7
   1           5393           8224           3402       3.361e-4       2.883e-1       1.515e-6
   1           2850          10011           5374       6.828e-4       2.837e-1       7.632e-8
   1           3461          14312           1695       7.551e-4       3.000e-1       5.713e-8
   1           3563           9992           7894       8.070e-4       2.828e-1       8.319e-7
   1           5826          18766           9153       4.199e-4       3.000e-1       9.843e-8
   1           3979          13421           9667       9.015e-4       2.542e-1       1.574e-8
   1           5046          11281          15008       7.644e-4       2.244e-1       5.741e-8
   1           4671          16275          13140       4.623e-4       2.890e-1       5.885e-7
   1           4194          14989          19469       5.530e-4       2.912e-1       7.795e-8
   1           3726          14891           5890       7.854e-4       3.000e-1       1.713e-6
   1           2659          11674           9900       7.938e-4       3.000e-1       2.198e-6
   1           3414          14139           5644       8.761e-4       2.758e-1       4.888e-6
   1           3502          13588           6072       5.150e-4       3.000e-1       1.639e-6
   1           4834          16691           7089       5.692e-4       2.718e-1       7.446e-8
   1           5495          10075           9886       5.169e-4       2.624e-1       1.829e-7
   1           4018           4195          16011       5.405e-4       1.912e-1       7.256e-6
   1           6778           9942           8871       7.163e-4       3.000e-1       5.356e-8
   1           2058           7958           1862       6.160e-4       3.000e-1       1.886e-8
   1           4986          10059           7825       6.814e-4       2.781e-1       3.246e-7
   1           5595          17340           3996       3.814e-4       3.000e-1       6.712e-7
   1           3218           6187           5805       6.373e-4       1.662e-1       2.195e-8
   1           3317          12664           4216       5.800e-4       3.000e-1       9.972e-7
   1           4504           8957          15795       3.748e-4       2.998e-1       9.954e-6
   1           3654          12254          12736       6.590e-4       2.804e-1       5.327e-8
   1           4683          10781          20205       3.126e-4       2.679e-1       4.754e-6
   1           4918           8495           6421       2.465e-4       2.689e-1       8.769e-6
   1           5058           8343          12931       3.392e-4       2.823e-1       5.914e-8
   1           4611          15257           2137       6.840e-4       2.776e-1       1.501e-8
   1           3533          11535          11011       6.184e-4       2.918e-1       6.210e-6
   1           4603          12168          21377       9.121e-4       2.476e-1       1.213e-7
   1           3432          14228          11851       6.529e-4       2.627e-1       1.168e-8
   1           4818          11173          10679       8.193e-4       2.892e-1       1.675e-6
   1           4899          10655          11671       8.701e-4       2.645e-1       1.892e-6
   1           5460          13132          13162       5.741e-4       3.000e-1       3.542e-8
   1           3921          11770           8927       6.233e-4       2.661e-1       1.350e-6
   1           4008          13272          11664       8.574e-4       3.000e-1       3.233e-8
   1           4431          11230           1358       6.899e-4       3.000e-1       3.276e-8
   1           3258          10199           3083       4.821e-4       2.673e-1       1.130e-6
   1           4376           7925          16352       2.149e-4       3.000e-1       9.522e-6
   1           3821          13014          10108       7.267e-4       2.995e-1       1.668e-7
   1           3720          13549          11524       3.753e-4       2.960e-1       4.652e-8
   1           6015          11926           3116       4.826e-4       3.000e-1       2.504e-8
   1           2167          15822           3812       9.174e-4       2.975e-1       2.320e-6
   1           4926           4228           8317       7.173e-4       2.737e-1       1.190e-6
   1           5253          13591          14750       8.996e-4       2.745e-1       1.164e-8
   1           3613          13628          10943       7.975e-4       2.696e-1       8.949e-6
   1           4594          13954           7408       4.305e-4       3.000e-1       3.730e-7
   1           3657          16050           6671       6.833e-4       3.000e-1       1.651e-6
   1           3940          12140           9031       4.041e-4       2.991e-1       4.397e-6
   1           5377          10111          14093       3.079e-4       2.949e-1       1.238e-8
   1           3714          17171           6453       6.140e-4       2.953e-1       1.606e-6
   1           4584           9457           4990       2.553e-4       3.000e-1       7.994e-6
   1           4239           5122          13835       6.415e-4       2.964e-1       3.480e-6
   1           5407          15826           1843       2.569e-4       3.000e-1       1.815e-8
   1           3863           9883           9337       7.460e-4       2.955e-1       6.096e-6
   1           5102          11324           4171       2.313e-4       2.980e-1       2.032e-8
   1           4387          12970          13137       3.323e-4       3.000e-1       3.500e-7
   1           4372           7363          14239       7.680e-4       1.201e-1       3.385e-7
   1           4725           6572           2089       7.999e-4       2.478e-1       6.235e-7
   1           3701          13179           9769       6.679e-4       2.986e-1       1.709e-8
   1           3775           5289           6644       6.025e-4       3.000e-1       6.248e-7
   1           5561          12596           5244       7.391e-4       2.913e-1       3.680e-6
   1           3576           7703           4264       8.861e-4       2.334e-1       3.357e-6
   1           3188          13891           7317       7.265e-4       2.730e-1       5.797e-6
   1           2816          15605           5669       7.771e-4       3.000e-1       1.083e-7
   1           3450          10889           5339       7.562e-4       3.000e-1       1.223e-6
   1           3213          18662           1427       7.414e-4       3.000e-1       2.737e-6
   1           3558          19078          10576       7.792e-4       2.654e-1       2.325e-8
   1           5050          14270           7876       6.084e-4       2.943e-1       1.628e-7
   1           3765          12320          10661       6.813e-4       2.948e-1       6.399e-6
   1           5069          13333           6091       4.211e-4       2.614e-1       4.244e-7
