scenario      Ne            t             Na          µmic_1        pmic_1       snimic_1      NAL_1_1       HET_1_1       VAR_1_1       MGW_1_1    
  1            3617          8766          6430    6.096e-004    2.365e-001    8.159e-008      7.500000      0.689049      3.990200      0.975610
  1            5194         11186         13814    3.654e-004    2.762e-001    1.375e-006      9.375000      0.769353      5.950216      0.892857
  1            5580          8869         11262    4.122e-004    3.000e-001    3.779e-008      9.000000      0.760385      6.968975      0.935065
  1            2812          7137          3092    7.409e-004    3.000e-001    1.416e-007     10.000000      0.735163      6.567319      0.952381
  1            5292         14398          9727    7.235e-004    3.000e-001    3.264e-007     12.000000      0.812530     10.865203      1.021277
  1            5342         13171         10956    3.008e-004    2.951e-001    1.279e-006      7.000000      0.694042      4.732913      0.861538
  1            2650         13956          4934    5.440e-004    2.983e-001    1.264e-008      7.500000      0.659994      3.805487      0.975610
  1            2805         11101          5384    8.261e-004    2.719e-001    2.127e-007      8.875000      0.707830      9.330769      0.850299
  1            4559         12853         11152    8.481e-004    2.725e-001    1.959e-008     11.250000      0.789903     11.747850      0.947368
  1            5648          1994           752    4.135e-004    3.000e-001    5.701e-008      7.375000      0.721058      2.903591      1.017241
  1            3475          4036         11748    7.003e-004    2.998e-001    8.540e-006     10.750000      0.688064      8.910599      1.068323
  1            3590         13379         15043    2.610e-004    3.000e-001    2.788e-008      6.000000      0.575096      7.498206      0.738462
  1            4886          9786         17312    4.615e-004    3.000e-001    1.344e-006     10.625000      0.762136      9.944503      0.944444
  1            4838         10056          6325    4.624e-004    3.000e-001    1.795e-006     10.750000      0.759416     10.432840      0.886598
  1            3224         15083          6798    6.685e-004    1.832e-001    1.540e-007      8.250000      0.735507      4.787539      0.956522
  1            3566          7317          7150    7.716e-004    2.318e-001    1.000e-005      8.875000      0.742020      3.946584      1.126984
  1            3376         12612          4468    8.448e-004    2.706e-001    4.372e-007     11.000000      0.772159     10.001447      0.988764
  1            4396         12024          5768    9.501e-004    1.700e-001    6.063e-008      8.000000      0.781983      5.258503      0.888889
  1            4567         14272         14534    6.687e-004    2.854e-001    7.905e-007      9.500000      0.765104      6.812448      0.904762
  1            5940         17646          1533    7.393e-004    2.414e-001    5.788e-006     16.250000      0.837008      9.448381      1.262136
  1            2825         10882         10551    8.924e-004    3.000e-001    3.117e-008      8.875000      0.723249      7.778669      0.840237
  1            4008         13273         11664    8.574e-004    3.000e-001    3.233e-008      9.750000      0.777824     11.770122      0.881356
  1            2584         17114         14003    5.939e-004    2.744e-001    1.841e-006      9.375000      0.754588      5.575195      0.949367
  1            3135          6847         15532    5.035e-004    2.785e-001    1.006e-006      8.500000      0.581447     16.166315      0.795322
  1            4750         11130         18600    2.319e-004    2.843e-001    4.858e-007      7.125000      0.679824      2.885850      0.904762
  1            4711          6730          6264    4.194e-004    2.927e-001    9.738e-006      8.375000      0.684526      9.570323      0.875817
  1            4685          5102          6815    3.970e-004    1.680e-001    1.535e-007     10.750000      0.733126     10.308828      0.960894
  1            4471         11759          5317    5.936e-004    2.950e-001    3.196e-008     12.375000      0.790976     18.354069      0.980198
  1            4490         19471          1068    3.816e-004    3.000e-001    8.552e-008      9.625000      0.744066     18.122698      0.922156
  1            3858         11649          2840    6.600e-004    3.000e-001    4.778e-008     10.250000      0.814746      6.964891      0.970414
  1            6257          8422          6392    5.975e-004    2.691e-001    5.961e-007     12.000000      0.794661     16.329182      0.955224
  1            3933         15799         12273    4.844e-004    2.989e-001    1.191e-006      9.500000      0.590049      8.201413      0.926829
  1            4181         13238         10638    6.147e-004    2.714e-001    4.809e-008      9.375000      0.666300      7.274790      0.931677
  1            4652         13497          9092    3.481e-004    3.000e-001    8.784e-006      9.875000      0.726601      6.828063      1.053333
  1            3549          9648          2761    7.069e-004    2.829e-001    1.667e-006      9.000000      0.690306      4.618388      1.043478
  1            4736         14649         11466    5.468e-004    3.000e-001    5.861e-008     10.125000      0.796057      6.419774      0.920455
  1            3794         12503         10449    5.383e-004    2.897e-001    1.081e-006      9.375000      0.747778      7.461228      0.882353
  1            5075         19792          8622    4.100e-004    2.966e-001    1.757e-007      7.625000      0.722975      5.987613      0.841379
  1            4699         10211          8620    7.445e-004    3.000e-001    2.404e-008     10.000000      0.755507      8.929338      0.909091
  1            4023         14185         12208    3.789e-004    2.397e-001    8.379e-007      6.500000      0.690352      2.425029      1.019608
  1            2717         14467         13380    9.311e-004    3.000e-001    3.258e-006      8.625000      0.745948      6.530413      0.896104
  1            1639         15644          4296    7.197e-004    2.911e-001    4.434e-007      7.125000      0.630636      4.642399      0.926829
  1            4466          8683         10737    4.232e-004    3.000e-001    1.854e-006      9.875000      0.768426      8.148786      0.849462
  1            5595          9653          8515    5.752e-004    2.273e-001    1.242e-006     10.625000      0.793569      8.459608      1.030303
  1            4599          4762          1223    5.635e-004    2.939e-001    4.825e-006      9.625000      0.706151      6.201800      1.033557
  1            2871         10183          7523    7.202e-004    3.000e-001    9.744e-007      9.125000      0.633351      9.734646      0.901235
  1            4901         13277          5226    7.339e-004    2.881e-001    7.149e-006     12.875000      0.837463      7.676018      1.078534
