scenario   Ne/Mean(N)      t/Mean(N)       Na/Mean(N)   
   1           1.000          11.957        2.210e-1
   1           1.000          12.110        4.789e-1
   1           1.000          12.228        1.659e-1
   1           1.000          11.794        5.078e-1
   1           1.000          11.760        4.790e-1
   1           1.000          11.955        9.995e-1
   1           1.000          12.228        1.018e-1
   1           1.000          11.606        5.531e-2
   1           1.000          11.818        3.777e-1
   1           1.000          12.126        3.237e-1
   1           1.000          11.808           1.224
   1           1.000          11.305        9.479e-1
   1           1.000          12.212        8.155e-1
   1           1.000          12.228        3.719e-1
   1           1.000          12.228        6.146e-1
   1           1.000          12.228        4.508e-1
   1           1.000          12.228        5.196e-1
   1           1.000          12.228           1.139
   1           1.000          12.228        3.274e-1
   1           1.000          11.588        4.063e-1
   1           1.000          10.575        6.033e-1
   1           1.000          10.662        1.832e-1
   1           1.000          12.228        6.258e-1
   1           1.000          12.228           1.242
   1           1.000          12.062        1.849e-1
   1           1.000          11.454        8.796e-1
   1           1.000          11.867        5.968e-1
   1           1.000          12.228        2.206e-1
   1           1.000           9.699        9.172e-1
   1           1.000          12.181        5.771e-1
   1           1.000          12.228        6.247e-1
   1           1.000          12.228           1.348
   1           1.000          10.497        6.626e-1
   1           1.000          12.228        4.286e-1
   1           1.000          11.594           1.065
   1           1.000          12.062        6.165e-1
   1           1.000          12.228        3.073e-2
   1           1.000          12.228        3.301e-1
   1           1.000          12.228        2.233e-1
   1           1.000          12.228        5.594e-1
   1           1.000          12.228           1.380
   1           1.000          11.552        8.862e-1
   1           1.000          10.725        5.361e-2
   1           1.000          12.228        5.533e-2
   1           1.000          12.228        3.706e-1
   1           1.000          11.735        4.353e-1
   1           1.000          12.228           1.138
   1           1.000          11.976        2.281e-1
   1           1.000          12.014        3.446e-1
   1           1.000           9.346        5.557e-1
   1           1.000          11.835        7.919e-1
   1           1.000          11.003        2.851e-1
   1           1.000          12.228        7.501e-2
   1           1.000          11.782        2.484e-1
   1           1.000          11.399        3.288e-1
   1           1.000          11.724        3.341e-1
   1           1.000          12.228        5.927e-1
   1           1.000          12.228        4.803e-1
   1           1.000          12.228        5.503e-1
   1           1.000          11.980        6.946e-1
   1           1.000          11.847        5.929e-1
   1           1.000          12.228        6.379e-1
   1           1.000          12.156        3.153e-1
   1           1.000          10.486        2.281e-1
   1           1.000          12.132        4.593e-2
   1           1.000          10.545        6.291e-1
   1           1.000          12.059        2.153e-1
   1           1.000          12.228        8.716e-2
   1           1.000          11.918        6.012e-1
   1           1.000          12.228        1.187e-1
   1           1.000          10.885        5.997e-1
   1           1.000          12.228        7.045e-1
   1           1.000          11.208        3.571e-1
   1           1.000          12.228        6.181e-1
   1           1.000          12.195        4.109e-1
   1           1.000          10.997        2.813e-1
   1           1.000          12.126        3.346e-1
   1           1.000          11.921        2.299e-1
   1           1.000          11.482        5.359e-1
   1           1.000          11.491        1.861e-1
   1           1.000          11.449        5.127e-1
   1           1.000          11.573        3.143e-1
   1           1.000          12.228        4.101e-1
   1           1.000          12.228        6.201e-1
   1           1.000          12.228        2.181e-1
   1           1.000           8.329        1.179e-1
   1           1.000          11.349        3.019e-1
   1           1.000          11.506           1.609
   1           1.000          12.188        3.879e-1
   1           1.000          12.228        5.508e-1
   1           1.000          12.228        5.567e-1
   1           1.000          12.228        2.312e-1
   1           1.000          12.228        2.901e-1
   1           1.000          10.598        7.134e-1
   1           1.000          12.064        4.855e-1
   1           1.000          12.228        3.092e-1
   1           1.000          10.650        4.839e-1
   1           1.000          12.161        2.354e-1
   1           1.000          12.082        3.027e-1
   1           1.000           7.395        6.258e-1
   1           1.000          11.646        4.660e-1
   1           1.000          10.226        8.319e-1
   1           1.000          12.228        2.682e-1
   1           1.000          12.127        3.523e-1
   1           1.000          12.228        7.556e-1
   1           1.000          11.779        2.664e-1
   1           1.000          11.177        3.509e-1
   1           1.000          10.723        3.829e-1
   1           1.000          11.847        5.753e-1
   1           1.000          12.228        3.726e-1
   1           1.000          12.228        5.198e-1
   1           1.000          11.718        5.828e-1
   1           1.000          12.111        3.704e-1
   1           1.000          12.228        2.314e-1
   1           1.000          10.123        3.491e-1
   1           1.000          12.135        2.410e-1
   1           1.000          12.228        3.911e-1
   1           1.000          11.405        4.377e-1
   1           1.000          12.011        4.694e-1
   1           1.000          11.643        2.920e-1
   1           1.000          12.009        9.267e-1
   1           1.000          11.534        2.651e-1
   1           1.000           9.807        2.954e-1
   1           1.000          10.796        3.181e-1
   1           1.000          11.260        4.148e-1
   1           1.000          11.735        4.204e-1
   1           1.000           9.348        5.197e-1
   1           1.000          12.228        1.461e-1
   1           1.000          11.435        2.079e-1
   1           1.000          12.157        5.024e-1
   1           1.000          11.230        6.041e-1
   1           1.000          12.228        2.549e-1
   1           1.000          10.637        1.458e-1
   1           1.000          10.994        4.056e-1
   1           1.000          12.228        2.494e-1
   1           1.000           9.811        6.305e-1
   1           1.000          12.228        1.960e-1
   1           1.000          12.153        1.941e-1
   1           1.000          12.228        1.259e-1
   1           1.000          11.885        1.872e-1
   1           1.000          12.228        3.831e-1
   1           1.000          12.116        1.710e-1
   1           1.000          12.073        2.676e-1
   1           1.000          12.228        1.677e-1
   1           1.000          12.228        8.005e-1
   1           1.000          11.499        1.730e-1
   1           1.000          10.871        7.803e-1
   1           1.000          12.228        2.807e-1
   1           1.000          10.386           2.258
   1           1.000          12.228        6.356e-1
   1           1.000          11.509           1.455
   1           1.000          12.228        3.236e-1
   1           1.000          12.148        3.437e-1
   1           1.000          11.744        4.014e-1
   1           1.000          12.228        6.466e-1
   1           1.000          12.228        8.588e-1
   1           1.000          11.598        4.421e-1
   1           1.000          12.228        3.320e-1
   1           1.000          12.228        3.312e-1
   1           1.000          12.228        7.686e-1
   1           1.000          10.979        2.569e-1
   1           1.000          12.160        5.512e-1
   1           1.000          11.989        2.349e-1
   1           1.000          12.228        4.701e-1
   1           1.000          12.001        1.294e-1
   1           1.000          12.228        6.715e-2
   1           1.000          12.228        1.596e-1
   1           1.000          11.037        5.421e-1
   1           1.000          12.228        3.544e-1
   1           1.000          11.822        5.690e-1
   1           1.000          11.707        5.897e-1
   1           1.000          12.228        5.083e-1
   1           1.000          12.228        4.086e-1
   1           1.000          12.228        4.481e-1
   1           1.000          11.675           1.397
   1           1.000          12.228        7.204e-1
   1           1.000          10.875        2.074e-1
   1           1.000          12.228        4.989e-1
   1           1.000          12.228        5.643e-1
   1           1.000          12.210        3.467e-1
   1           1.000          12.228        5.991e-1
   1           1.000          11.125        6.907e-1
   1           1.000          12.048        2.936e-1
   1           1.000          11.558        9.184e-1
   1           1.000          11.857        4.977e-1
   1           1.000           3.695           1.060
   1           1.000           8.425           1.599
   1           1.000          10.188        5.816e-1
   1           1.000          12.228        8.895e-1
   1           1.000          11.765        4.467e-1
   1           1.000          12.228        4.776e-1
   1           1.000          11.237        2.629e-1
   1           1.000          12.228        1.020e-1
   1           1.000          12.069        2.473e-1
   1           1.000          12.041        4.421e-1
   1           1.000          11.765        5.978e-1
   1           1.000          12.228        4.302e-1
   1           1.000          12.025        3.286e-1
   1           1.000          11.799        3.099e-1
   1           1.000          11.910        4.599e-1
   1           1.000          12.228        3.619e-1
   1           1.000          11.572        4.228e-1
   1           1.000          12.227        9.669e-1
   1           1.000          12.228           1.180
   1           1.000          12.228           2.294
   1           1.000          12.228        3.376e-1
   1           1.000          12.196        3.693e-1
   1           1.000          12.228           1.008
   1           1.000          12.228        6.733e-1
   1           1.000          12.228        5.935e-1
