scenario  Ne(u+sni)_1     t(u+sni)_1      Na(u+sni)_1   
   1           1.758           2.047          28.079
   1           2.160           3.663          28.079
   1           4.506           6.010          28.079
   1           1.543           7.083          28.079
   1           4.189           3.428          28.079
   1           3.507           7.874          28.079
   1           2.576           1.867          28.079
   1           4.003           3.759          28.079
   1           5.030           4.441          18.815
   1           4.037           5.308          28.079
   1           2.379           3.344          27.802
   1           3.378           9.334          28.079
   1           2.064           9.419          28.079
   1           2.014           2.000          26.492
   1           3.061           2.513          24.596
   1           3.950           8.479          22.224
   1           4.754           4.686          28.079
   1           3.053           2.655          28.079
   1           2.296           8.677          28.053
   1           1.959           2.693          27.115
   1           2.497           2.854          27.515
   1           2.671           2.014          28.079
   1           2.636           2.451          27.858
   1           2.936           3.508          28.001
   1           3.153           3.881          23.379
   1           2.432           1.655          27.160
   1           2.734           4.617          27.942
   1           2.600           4.578          28.079
   1           2.186           2.666          28.079
   1           1.597           2.424          27.854
   1           3.852           6.481          28.079
   1           2.712           5.882          28.079
   1           2.884           3.075          28.079
   1           3.050           4.928          28.079
   1           2.959           2.165          27.388
   1           1.648           3.521          25.456
   1           3.183           3.533          21.141
   1           1.903           1.740          26.753
   1           3.765           5.288          27.763
   1           2.988           9.089          23.540
   1           2.266           1.544          28.079
   1           2.481           9.669          26.007
   1           3.431           1.759          28.079
   1           2.608           8.011          28.079
   1           3.222           2.670          28.079
   1           1.891           9.354          28.079
   1           4.974           5.742          28.079
   1           4.790           3.713          27.281
   1           4.422           5.835          28.079
   1           3.692           2.384          26.687
   1           2.256           6.935          28.079
   1           2.000           2.571          25.951
   1           2.267           2.313          28.079
   1           2.986           2.943          25.847
   1           2.642           4.594          28.079
   1           3.096           6.085          28.079
   1           3.074           4.531          28.079
   1           2.373        8.383e-1          25.378
   1           4.018           3.794          28.079
   1           2.628           3.571          28.079
   1           3.184           3.422          28.079
   1           2.833           7.849          28.079
   1           2.854           5.095          28.079
   1           2.796           4.007          27.645
   1           2.524           8.399          28.079
   1           2.674           1.247          28.079
   1           3.516           3.752          28.079
   1           2.410           5.721          26.379
   1           2.087           1.460          28.079
   1           2.373           3.462          28.072
   1           2.736           7.856          27.801
   1           3.204        2.460e-1          27.563
   1           2.458           1.968          28.079
   1           1.800           1.041          28.079
   1           4.619           4.403          28.079
   1           3.411           5.207          28.079
   1           3.128           7.731          28.079
   1           2.350           6.816          26.388
   1           2.063           1.084          28.079
   1           3.998           1.425          28.079
   1           2.154           2.491          28.079
   1           2.043           4.011          27.996
   1           3.570           5.284          28.079
   1           1.891           2.647          28.079
   1           2.889           4.265          28.079
   1           3.566           9.582          28.079
   1           3.768           3.352          27.333
   1           3.008           3.396          25.692
   1           3.576           5.688          28.079
   1           3.326           2.597          28.079
   1           2.580           2.114          28.079
   1           4.016           5.606          28.079
   1           4.249           2.598          28.079
   1           3.210           3.637          28.079
   1           5.127           1.773          28.079
   1           5.479           3.795          27.669
   1           2.359           3.196          28.079
   1           4.178           2.632          28.079
   1           2.299           1.223          28.079
   1           3.054           6.944          27.156
   1           2.420           2.958          26.699
