scenario      Ne            t             Na          µmic_1        pmic_1       snimic_1      NAL_1_1       HET_1_1       VAR_1_1       MGW_1_1    
  1            4761         11857         11979    5.481e-004    1.869e-001    2.718e-008      8.363636      0.687384      7.199198      0.817778
  1            5018         17335          6081    5.891e-004    1.577e-001    2.693e-008     10.818182      0.742167      9.677777      0.908397
  1            2712         10444         16110    2.211e-004    2.329e-001    8.288e-006      6.363636      0.563690      9.259678      0.765027
  1            3513          8123         10995    5.606e-004    1.758e-001    1.432e-007      8.818182      0.749385     14.561837      0.898148
  1            5169         12583         17596    3.093e-004    2.885e-001    3.742e-007      7.454545      0.716781      6.183436      0.872340
  1            4340          5737         10527    4.614e-004    1.583e-001    7.312e-006     10.909091      0.760623     12.281902      0.869565
  1            2160         12251         16335    9.410e-004    1.503e-001    4.351e-008      9.636364      0.791066      8.371662      0.861789
  1            4981          9578         16477    6.653e-004    1.870e-001    4.706e-007      9.181818      0.744453      5.789003      0.801587
  1            4026         15339         14298    3.018e-004    1.503e-001    2.222e-006      6.090909      0.616591      2.700026      0.950355
  1            3687         13721         15863    4.396e-004    1.424e-001    1.531e-007      6.181818      0.654541      3.833359      0.918919
  1            3802         12913          7291    6.208e-004    2.603e-001    4.826e-006     11.000000      0.766579      7.709651      0.991803
  1            2330          4856          3694    5.913e-004    1.462e-001    1.534e-006      5.909091      0.630483      1.834096      0.896552
  1             962         10219         11338    3.659e-004    2.196e-001    8.360e-006      4.636364      0.454265      1.534346      0.809524
  1            4016          7992          3679    7.006e-004    2.415e-001    3.332e-008     10.636364      0.830345      6.672017      0.966942
  1            4688         14329         21299    9.447e-004    2.724e-001    4.872e-008     13.000000      0.849669     14.703342      0.931596
  1            2614         14209          7382    3.823e-004    2.406e-001    3.551e-008      7.363636      0.672736      6.155966      0.835052
  1            2455         11803         16459    3.290e-004    1.085e-001    6.129e-006      5.727273      0.540339      1.745071      1.024390
  1            4977          5988         12638    3.065e-004    2.488e-001    2.420e-007      9.181818      0.748229     17.910843      0.745387
  1            1889         17442          1914    9.571e-004    2.724e-001    2.132e-007      9.272727      0.693475      9.076668      0.860759
  1            3950         11718          1041    9.285e-004    1.662e-001    6.850e-006     11.181818      0.799741      5.230290      1.133641
  1            3182         11043          2273    9.812e-004    1.471e-001    1.085e-007      9.363636      0.809315      7.275675      0.953704
  1            4661         15961          4862    3.678e-004    2.174e-001    4.735e-006     10.272727      0.776323      9.144286      0.907631
  1            4393         11738          6168    1.208e-004    2.440e-001    3.630e-008      5.818182      0.522671      1.719264      0.927536
  1            4892          9923         11079    6.630e-004    1.267e-001    1.995e-008     10.272727      0.805120     13.147695      0.879377
  1            4410          5001          1096    5.652e-004    2.161e-001    1.943e-006      9.272727      0.726793      6.232827      1.004926
  1            3848         10327          6855    9.367e-004    2.051e-001    2.453e-006     11.909091      0.804308     10.838099      0.996198
  1            4003         10685          4523    6.421e-004    1.991e-001    2.208e-008      7.818182      0.722806      2.768810      0.945055
  1            2560         13552          9342    2.197e-004    1.352e-001    1.819e-006      4.272727      0.452667      0.477528      1.044444
  1            3275         11817         12244    8.585e-004    1.252e-001    1.082e-008      8.363636      0.761974     10.286057      0.832579
  1            3808          6460         18523    1.678e-004    1.610e-001    3.634e-006      5.545455      0.588711      1.962468      0.924242
  1            4374          8594          5905    2.473e-004    1.637e-001    9.225e-008      6.090909      0.632232      2.278115      0.943662
  1            5968          4535         11477    4.365e-004    2.334e-001    1.200e-008      9.727273      0.779580      6.871877      0.795539
  1            5159         11463         25900    3.665e-004    1.946e-001    1.283e-008      8.090909      0.746673      5.007171      0.951872
  1            5294          6945         14139    6.055e-004    2.889e-001    5.935e-007     10.545455      0.757660     11.029742      0.913386
  1            2849          1354         14284    8.362e-004    1.662e-001    2.340e-007     10.909091      0.810129     11.009055      0.810811
  1            3848         10241         12042    4.309e-004    1.760e-001    4.567e-007      7.909091      0.725997      6.196130      0.896907
  1            3525         13957           363    8.777e-004    1.758e-001    2.198e-007      6.636364      0.646763      6.013662      0.895706
  1            2475          4208         11999    8.087e-004    1.145e-001    1.797e-006      8.363636      0.726764      3.283381      0.978723
  1            1359          7954         10043    5.327e-004    2.573e-001    3.557e-006      5.272727      0.629515      1.351115      0.991453
  1            1809         12552         16224    9.592e-004    1.804e-001    8.461e-006      8.909091      0.716881      4.020471      0.970297
  1            6247          9320         18013    9.288e-004    2.696e-001    2.489e-007     13.363636      0.830829     12.967592      0.915888
